#{"t_start": 1697488114.748691, "env_id": "None"}
r,l,t,rendimiento,rentabilidadMedia,aciertos,errores,aciertosplus
0.01739496,100,3.854012,1.0140804310361837,0.008697476701323302,12.0,9.0,0.0
0.14541845,100,3.854051,1.07823882235385,0.04102071397993044,9.0,14.0,2.0
0.007221153,100,3.85406,1.0066039019084725,0.0036105766228101592,6.0,11.0,0.0
-0.11240332,100,3.854067,0.8924897538720754,-0.05620166188220006,5.0,22.0,0.0
0.053246237,100,3.854073,1.017091793584411,0.010166711539280242,6.0,12.0,1.0
0.05784127,100,3.854078,1.0578582600089004,0.02892063410514694,10.0,11.0,0.0
0.20511585,100,3.854083,1.1555160786058623,0.07570546540086417,10.0,9.0,1.0
0.03164774,100,3.854089,1.0306491957128494,0.015823872675767334,9.0,12.0,0.0
0.07946673,100,6.397134,1.0450692497850331,0.02485438959758663,10.0,8.0,1.0
0.07149022,100,6.397176,1.0439107877048366,0.023147741480576862,9.0,9.0,1.0
0.10346814,100,6.397186,1.0608871358345466,0.03274524973251951,11.0,12.0,1.0
0.16076224,100,6.397192,1.1300705172517618,0.0645801066805467,13.0,11.0,1.0
0.0564,100,6.397198,1.050822051474458,0.028200001493017525,11.0,10.0,0.0
0.13655598,100,6.397205,1.1428113714817867,0.06827798720169334,18.0,11.0,0.0
-0.017802631,100,6.397211,0.9814475946108955,-0.008901315467150566,11.0,12.0,0.0
-0.03716697,100,6.397217,0.9619433262286217,-0.01858348485765874,7.0,15.0,0.0
0.27388528,100,8.937594,1.2569335607881733,0.11850486352577333,19.0,6.0,1.0
0.07756442,100,8.937637,1.0790644810369638,0.03878220643142997,13.0,10.0,0.0
0.015571786,100,8.937648,1.0139655427778538,0.007785890716139955,9.0,11.0,0.0
0.06392876,100,8.937655,1.010047173043032,0.01259765661276261,15.0,10.0,1.0
0.098854735,100,8.937661,1.066238281042566,0.034853609524591635,10.0,11.0,1.0
0.04008463,100,8.937667,1.0369130142353629,0.020042312248913393,13.0,14.0,0.0
0.013049915,100,8.937673,0.9811979531814683,-0.008217400806801708,6.0,14.0,1.0
0.35401595,100,8.937685,1.2835342204930016,0.12924087769799233,10.0,7.0,3.0
0.13283038,100,11.528209,1.097606559400213,0.04877779533450598,12.0,13.0,1.0
0.35190737,100,11.52826,1.2148294983198624,0.10562748546268069,14.0,12.0,4.0
-0.07076895,100,11.52827,0.9308337014962518,-0.03538447440478394,7.0,16.0,0.0
