#{"t_start": 1697834399.4605162, "env_id": "None"}
r,l,t,rendimiento,porfolio,comision
-0.11594382,100,3.693454,0.8905252610191883,[0.4037889  0.19987306 0.39633805],1.5020601451396915e-05
-0.23386303,100,3.693623,0.7914702241730389,[0.5014981 0.4985019 0.       ],0.002475254982709885
-0.110702515,100,3.693691,0.8952049676400607,[0. 1. 0.],0.003353589288890362
-0.13263221,100,3.693743,0.8757871188479615,[0.2 0.  0.8],0.0011381724625825883
-0.0982194,100,3.693784,0.9064500261152679,[0.         0.567013   0.43298697],0.0012942413628101352
-0.14462039,100,3.693823,0.8653506877628903,[0.32785612 0.6721439  0.        ],0.00133456646502018
-0.1646546,100,3.693872,0.8481865844250067,[0.49824777 0.16940424 0.332348  ],0.0005085078909993171
-0.19545723,100,3.693914,0.8224585114577484,[1. 0. 0.],0.0043458792194724085
-0.12268082,100,6.462307,0.8845459416605604,[0.42838675 0.         0.57161325],0.0004932317525148393
-0.38199085,100,6.462437,0.6825013056893943,[0. 1. 0.],0.0025032590702176094
-0.2660335,100,6.462496,0.7664134547935241,[0.1983152  0.20329918 0.59838563],0.001154955118894577
-0.20170987,100,6.462543,0.8173319630988662,[0.25 0.25 0.5 ],0.0025
-0.017865475,100,6.462581,0.9822931731265748,[0.23 0.33 0.44],0.0008228968173265457
-0.19114783,100,6.462625,0.8260104690466035,[0.50104374 0.         0.49895623],0.0016499999910593033
-0.30237392,100,6.462668,0.7390616670383701,[0.49426013 0.2542292  0.25151068],0.0008114618435502052
-0.18234609,100,6.462706,0.8333128722404926,[0.4015219 0.        0.5984781],0.0010047368034720422
-0.19893007,100,9.241255,0.8196072476253609,[0. 1. 0.],0.002501601576805115
-0.1816915,100,9.241386,0.833858541927673,[0.         0.33192277 0.66807723],0.005
-0.27169183,100,9.241447,0.7620890510486349,[0. 1. 0.],0.003500000014901161
-0.16081664,100,9.241493,0.8514481755653529,[0.43110514 0.140502   0.42839286],0.000797480645775795
-0.18341605,100,9.241537,0.8324217652596324,[0.44764566 0.11106867 0.44128567],0.0003371746398508549
-0.12991837,100,9.241579,0.8781671030436196,[0.         0.5002352  0.49976477],0.0025
-0.19225478,100,9.241627,0.8250966190598452,[0.        0.6703949 0.3296051],0.001649999925494194
-0.28568935,100,9.241668,0.7514960361332017,[0.38331226 0.36932066 0.24736708],0.001600000001490116
-0.176483,100,11.996076,0.8382130228759599,[0.34 0.22 0.44],0.0014034847483038904
-0.21489672,100,11.996206,0.8066247645557835,[0.  0.5 0.5],0.0025
-0.1368476,100,11.996265,0.8721031263445829,[0. 1. 0.],0.0037427330017089843
-0.34536397,100,11.996312,0.7079626090189569,[0.50377184 0.49622816 0.        ],0.0018925271928310395
-0.2591781,100,11.996356,0.7716855726756059,[0.28208327 0.28981668 0.42810005],0.0035499999999999998
-0.21492738,100,11.996406,0.8066000101192888,[0.4006354  0.4017616  0.19760302],0.0012990605533123017
-0.13029574,100,11.996448,0.8778357708950346,[0.17158245 0.33115217 0.49726537],0.001488758958876133
-0.24873911,100,11.996486,0.7797833686298712,[0.2536232 0.        0.7463768],0.0037499999254941943
-0.21507594,100,14.7716,0.8064802027893903,[0.60173714 0.         0.39826286],0.0010922438651323318
-0.2926124,100,14.771723,0.7463113131850735,[0.4953231  0.33302027 0.17165664],0.00024999999478459356
-0.0031594753,100,14.771783,0.9968455074892759,[0.44883037 0.21991399 0.33125564],0.0009092169195413591
-0.27296704,100,14.771829,0.7611178775985961,[0.13998687 0.28881568 0.57119745],0.0028499999254941945
-0.15766028,100,14.771872,0.8541398818781989,[0.325981   0.         0.67401904],0.00249282038807869
-0.1853,100,14.771912,0.830855035697695,[0.43 0.14 0.43],0.0011986299961805344
-0.09181723,100,14.771951,0.9122718468584332,[0.33195043 0.         0.6680496 ],0.0015500000029802325
-0.062200602,100,14.771991,0.9396943628653253,[0. 0. 1.],0.0033506235480308534
-0.14565584,100,17.520318,0.8644551367384204,[0.3293319  0.         0.67066807],0.0008500000000000001
-0.23386098,100,17.520439,0.79147179719969,[0.19839345 0.60385966 0.19774687],0.003004050754010677
-0.21926655,100,17.520497,0.8031076110975233,[0.14026734 0.5738111  0.2859215 ],0.0011943155139684677
-0.114951134,100,17.520548,0.891409692652797,[0.22909525 0.33065093 0.44025382],0.0011934179186820985
-0.049518686,100,17.52059,0.9516873712186729,[0. 0. 1.],0.0044028590805828575
-0.15452126,100,17.52063,0.8568252305189766,[0.43 0.14 0.43],0.0018566483244299888
-0.5196302,100,17.520669,0.594740470404372,[0.        0.4973132 0.5026868],4.937499761581421e-05
-0.09338347,100,17.520718,0.9108441494424816,[0.37832215 0.50058895 0.12108887],0.0025
-0.21465406,100,20.273357,0.8068205223572886,[0.28 0.43 0.29],0.0008416772618889808
-0.14336723,100,20.273484,0.8664358163988586,[0.25 0.75 0.  ],0.0020865941047668456
-0.14658183,100,20.273551,0.8636550277283019,[0.20067695 0.799323   0.        ],0.0024786311388015746
-0.29023424,100,20.273602,0.7480883960681565,[0.33 0.   0.67],0.0033499999254941936
-0.26795992,100,20.273645,0.7649384031226565,[0.44782248 0.11283531 0.43934223],0.0007813552170991897
-0.074246936,100,20.273686,0.9284423764307358,[0.32988077 0.500472   0.16964723],0.0025028452366590505
-0.28873807,100,20.273726,0.749208393292328,[0.4521015 0.1103361 0.4375624],0.0019316541373729707
-0.27859274,100,20.273774,0.7568480676222925,[0. 1. 0.],0.0037424692511558535
-0.28918877,100,23.01495,0.7488707770539993,[0.13311006 0.37194425 0.4949457 ],0.000650000074505806
-0.15029138,100,23.015076,0.8604572797240886,[0.32773787 0.17189895 0.5003632 ],0.0025
-0.32157892,100,23.015137,0.7250033694332243,[0.33724293 0.4964803  0.16627678],0.0008500000745058059
-0.27419358,100,23.015184,0.7601848851983043,[0.         0.43535864 0.56464136],0.0003434592843055724
-0.20070301,100,23.015231,0.8181553936413215,[0.57 0.29 0.14],0.00215
0.049558166,100,23.015274,1.0508067468300053,[0.26 0.37 0.37],0.002158016288280487
-0.12466295,100,23.015316,0.8827943798041111,[1. 0. 0.],0.0025
-0.026049921,100,23.015364,0.9742864318145145,[0.7489045  0.25109547 0.        ],0.005
-0.14604133,100,25.781572,0.8641220209218039,[0.20077316 0.19830966 0.60091716],0.0008519072234630584
-0.1507976,100,25.781709,0.8600217129867818,[0.12040295 0.44089964 0.4386974 ],0.001354200330376625
-0.08654434,100,25.781767,0.9170948857977166,[0.42890123 0.57109874 0.        ],0.002840224504470825
-0.41065222,100,25.78181,0.6632175614502263,[0.65882206 0.17104799 0.17012993],0.000999537752568722
-0.33598572,100,25.781852,0.7146332921785404,[1. 0. 0.],0.003315328732132912
-0.2980937,100,25.781892,0.742231800821606,[0.  0.4 0.6],0.0017378099560737608
-0.16946259,100,25.781929,0.844118328926729,[0.24656084 0.5027533  0.25068584],0.0007478271797299386
-0.11371245,100,25.781974,0.8925145902724418,[0. 1. 0.],0.0024866634607315064
-0.19995569,100,28.53878,0.8187670510920714,[0.6587266  0.17127718 0.16999623],0.0008000000372529028
-0.18548545,100,28.538897,0.8307008988893005,[0.49637344 0.25330263 0.25032392],0.0025
-0.17441566,100,28.538952,0.8399476846835469,[0.2544744 0.7455256 0.       ],0.0019999999925494195
-0.082344726,100,28.539002,0.9209544216460303,[0.14189476 0.28758916 0.57051605],0.0018935115963220597
-0.14870352,100,28.53907,0.8618245669803644,[0.37869242 0.25755122 0.36375633],0.0011975763231515885
-0.23543091,100,28.53911,0.7902302293136945,[0.37279108 0.3573164  0.26989254],0.00135
-0.24751782,100,28.539149,0.7807363152677914,[0.49185416 0.50814587 0.        ],0.0024851469695568087
-0.14866775,100,28.539186,0.8618554163653865,[1. 0. 0.],0.004999999925494194
-0.09428807,100,46.936698,0.9100205532126202,[0.12027736 0.4415189  0.43820372],0.002199999925494194
-0.22786394,100,46.936821,0.7962325837245557,[0. 0. 1.],0.002800000011920929
-0.14726946,100,46.936907,0.8630614055100526,[0.25071478 0.7492852  0.        ],0.00375
-0.20213425,100,46.93695,0.8169852502114405,[0.2534105  0.49814585 0.24844365],0.0010081009566783904
-0.26825997,100,46.936989,0.7647089625199555,[0.36770546 0.27210346 0.36019108],0.0015592480421066286
-0.07128623,100,46.937029,0.9311953138917791,[0.   0.33 0.67],0.005
-0.114866234,100,46.937067,0.8914853730168207,[0.3281828 0.        0.6718172],0.0025
-0.2495072,100,46.937104,0.7791846737006288,[0.4001387  0.20120022 0.39866108],0.0007467078864574432
-0.22520703,100,49.688178,0.7983508736776351,[0.16243309 0.171987   0.6655799 ],0.0025500000089406973
-0.2722437,100,49.688297,0.7616686320538509,[0.7483533  0.25164667 0.        ],0.0016387996077537536
-0.19644436,100,49.688352,0.8216470174559835,[0.49662006 0.         0.50337994],0.002500000074505806
-0.24009614,100,49.688396,0.7865522502615306,[0.         0.33206746 0.6679325 ],0.0033499999999999997
-0.107601374,100,49.688434,0.8979854584969079,[0.4527227  0.4375741  0.10970323],0.0008212748393416406
-0.19972315,100,49.688473,0.8189574579588378,[0.51 0.12 0.37],0.001400802457332611
-0.18142459,100,49.68851,0.834081129390427,[0.24970704 0.24801347 0.5022795 ],0.000652102380990982
-0.11002244,100,49.688547,0.8958140471356877,[0.75 0.25 0.  ],0.0025100748986005782
-0.040471096,100,52.42788,0.9603369174187532,[0.         0.42998278 0.5700172 ],0.002149999925494194
-0.1925465,100,52.428031,0.8248559796545414,[0.16 0.67 0.17],0.000836470304429531
-0.1939124,100,52.428101,0.8237300513345276,[0.4981818  0.         0.50181824],0.0016534345224499703
-0.1590799,100,52.428147,0.8529282047439013,[0.5 0.  0.5],0.0025136009603738785
-0.081121914,100,52.428188,0.9220812668473642,[0.4021348  0.30169624 0.29616895],0.0009050410576164722
-0.24773008,100,52.428228,0.7805706038367065,[0.5663899  0.14087759 0.2927325 ],0.0028499999999999997
-0.23716427,100,52.428267,0.7888617215233679,[0.49840775 0.33280253 0.16878971],0.0008500000186264515
-0.1804428,100,52.428313,0.834900427995751,[0.67 0.33 0.  ],0.0014348555825650694
-0.20845196,100,55.175282,0.8118399930977469,[0.40353316 0.         0.59646684],0.003
-0.1020901,100,55.175401,0.9029481946600011,[0.3 0.3 0.4],0.0009938174188137056
0.020591691,100,55.175457,1.0208051732481516,[1. 0. 0.],0.005
-0.2539136,100,55.175502,0.7757588526755135,[0. 1. 0.],0.0016499999910593033
-0.18540521,100,55.175541,0.8307675620085787,[0.2936662  0.5662054  0.14012842],0.0008500000074505803
-0.22720931,100,55.175581,0.7967539745643859,[0.37 0.27 0.36],0.0007022193416953088
-0.05048775,100,55.175618,0.9507655710859579,[0.5014943  0.         0.49850568],0.0005000000447034835
-0.104298115,100,55.175656,0.9009566541746875,[0.         0.43948185 0.56051815],0.00222342599183321
-0.37172267,100,57.933822,0.6895454289123906,[0.2541995  0.50507796 0.24072252],0.00375
-0.13717288,100,57.933948,0.8718194812388395,[0.4 0.6 0. ],0.002
-0.1069699,100,57.934003,0.898552703074924,[0.49782586 0.25147778 0.25069636],0.0005052909255027771
-0.19554724,100,57.934048,0.8223844899044436,[0.5019009  0.32969067 0.16840844],0.0010499999947845937
-0.22123095,100,57.934092,0.801531541959566,[0.74993277 0.2500672  0.        ],0.0037543773651123047
-0.17892715,100,57.934133,0.836166747309517,[0.22859922 0.43673968 0.3346611 ],0.0013501799687743188
-0.25518557,100,57.93417,0.7747726693052792,[0.45 0.11 0.44],0.0018051686391234397
-0.28714845,100,57.934207,0.7504002837124961,[0.40440342 0.29414007 0.3014565 ],0.0005066601485013961
-0.21646565,100,60.675802,0.8053602706293826,[0.2548582  0.49566144 0.24948035],0.001250000074505806
-0.15006018,100,60.675924,0.8606562012303578,[0.5025851  0.24874978 0.24866511],0.0008000000566244126
-0.21105064,100,60.67598,0.8097330216991255,[0.4295407  0.43060884 0.13985047],0.002150000074505806
-0.2652524,100,60.676025,0.7670123439871123,[0.12151607 0.43975967 0.43872425],0.002200000074505806
-0.14905891,100,60.676067,0.8615183494982133,[0.45 0.11 0.44],0.00145463954359293
-0.18184575,100,60.676108,0.8337299427044167,[0.42 0.29 0.29],0.0010413609959185122
-0.056349352,100,60.676149,0.9452088607660828,[0.37305757 0.3575261  0.26941633],0.00135
-0.25440526,100,60.676194,0.7753774638681015,[0.38035342 0.11945906 0.5001875 ],0.0005000155285000801
-0.22993687,100,63.416142,0.7945838002276515,[0.4047851  0.19819547 0.39701945],0.002000000074505806
-0.16305247,100,63.416262,0.8495465980660809,[0.5  0.25 0.25],0.0017915471643209458
-0.18879625,100,63.416322,0.8279551415531832,[0.59979695 0.         0.40020305],0.0025143882445991038
-0.17460053,100,63.416377,0.8397924134630763,[0.25 0.5  0.25],0.0025
-0.1954591,100,63.41642,0.8224569847486308,[0.32204628 0.34384495 0.3341088 ],0.0017
-0.1977753,100,63.41646,0.8205542343516705,[0.38027844 0.37259847 0.2471231 ],0.0008918582141399384
