fecha,rendimiento_acumulado,rentabilidad step,comision,rentabilidad_1,rentabilidad_2,rentabilidad_3,rentabilidad_4,porcentaje_1,porcentaje_2,porcentaje_3,porcentaje_4,precios_1,precios_2,precios_3
20050313,0.9975,1.0,0.0025,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.968229,0.9679312,4.1445155
20050314,1.0092096680402756,1.011739,0.0,1.0,1.0,1.011739,1.0065839,0.0,0.0,1.0,0.0,6.968229,0.97929376,4.1718025
20050315,0.9866579090251145,0.97765404,0.0,1.0,0.9984385,0.97765404,0.9803779,0.0,0.0,1.0,0.0,6.957348,0.9574105,4.089943
20050316,0.9870914518790262,1.0004394,0.0,1.0,0.98696554,1.0004394,1.000741,0.0,0.0,1.0,0.0,6.8666625,0.9578312,4.0929737
20050317,0.9870914518790262,1.0,0.0,1.0,1.0079236,1.0,1.0029633,0.0,0.0,1.0,0.0,6.9210715,0.9578312,4.1051025
20050320,0.9909946990626208,1.0039543,0.0,1.0,1.0047171,1.0039543,0.99630713,0.0,0.0,1.0,0.0,6.9537187,0.9616188,4.089943
20050321,0.9953316995985843,1.0043764,0.0,1.0,0.998957,1.0043764,1.0088952,0.0,0.0,1.0,0.0,6.946466,0.96582717,4.1263237
20050322,0.9892599992960003,0.9938998,0.0,1.0,1.0020883,0.9938998,0.9955919,0.0,0.0,1.0,0.0,6.9609723,0.9599354,4.1081343
20050323,0.9992346684259029,1.010083,0.0,1.0,1.0015634,1.010083,1.002952,0.0,0.0,1.0,0.0,6.9718556,0.96961445,4.120261
20050324,0.9992346684259029,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.9718556,0.96961445,4.120261
20050327,0.9992346684259029,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.9718556,0.96961445,4.120261
20050328,0.9827545664100032,0.9835073,0.0,1.0,0.9932362,0.9835073,1.005151,0.0,0.0,1.0,0.0,6.9246993,0.9536229,4.1414847
20050329,0.9892599816491205,1.0066196,0.0,1.0,0.99895245,1.0066196,0.9934112,0.0,0.0,1.0,0.0,6.917445,0.9599354,4.1141973
20050330,0.9932028757587569,1.0064857,0.0025,1.0,1.0015731,1.0113983,0.99042004,0.0,0.5,0.5,0.0,6.9283266,0.97087705,4.0747833
20050331,1.0050192909771922,1.0119095,1.2202337384223938e-05,1.0,1.0099479,1.0138712,0.9940478,0.0,0.5,0.5,0.0,6.9972486,0.98434424,4.0505295
20050403,0.9951368797504724,0.9901718,4.846379160881043e-06,1.0,0.9927425,0.98760104,0.9917665,0.0,0.5,0.5,0.0,6.946466,0.9721394,4.0171795
20050404,1.0032603417036117,1.0081697,6.490647792816162e-06,1.0,1.0120101,1.0043291,1.0075469,0.0,0.5,0.5,0.0,7.0298934,0.97634786,4.047497
20050405,1.0127915942409147,1.0095098,9.523481130599976e-06,1.0,1.0134159,1.0056037,1.0074908,0.0,0.5,0.5,0.0,7.124206,0.98181903,4.0778155
20050406,1.0166217473542705,1.0037915,9.673312306404113e-06,1.0,1.0045826,1.0030003,1.0007435,0.0,0.5,0.5,0.0,7.1568537,0.9847647,4.0808473
20050407,1.0156279843649774,1.0015205,0.0024980294704437258,1.0,1.0015205,0.99316263,1.0022289,0.0,1.0,0.0,0.0,7.167736,0.9780315,4.089943
20050410,1.0079183430528083,0.992409,0.0,1.0,0.992409,0.99569696,0.9955523,0.0,1.0,0.0,0.0,7.1133256,0.973823,4.071752
20050411,1.0074040271535032,0.9994897,0.0,1.0,0.9994897,0.9961106,0.997766,0.0,1.0,0.0,0.0,7.109696,0.97003543,4.062656
20050412,1.0197396288243827,1.0122449,0.0,1.0,1.0122449,1.0104123,1.005224,0.0,1.0,0.0,0.0,7.196754,0.9801358,4.083879
20050413,1.0125439835100467,0.99294364,0.0,1.0,0.99294364,1.0047227,1.0,0.0,1.0,0.0,0.0,7.1459713,0.9847647,4.083879
20050414,0.9894150415039045,0.9771576,0.0,1.0,0.9771576,0.98888904,0.9747587,0.0,1.0,0.0,0.0,6.98274,0.973823,3.9807966
20050417,0.9714252814527946,0.9818178,0.0,1.0,0.9818178,0.9874677,0.9931457,0.0,1.0,0.0,0.0,6.855778,0.9616188,3.953511
20050418,0.9760513764072228,1.0047622,0.0,1.0,1.0047622,1.0078772,1.0,0.0,1.0,0.0,0.0,6.8884263,0.96919364,3.953511
20050419,0.9698836628413257,0.99368095,0.0,1.0,0.99368095,1.0073817,1.0007668,0.0,1.0,0.0,0.0,6.844898,0.97634786,3.9565423
20050420,0.9688556352367275,0.99894005,0.0,1.0,0.99894005,1.0043107,1.005364,0.0,1.0,0.0,0.0,6.837643,0.9805566,3.9777648
20050421,0.9801630980787843,1.011671,0.0,1.0,1.011671,1.0042915,1.0121951,0.0,1.0,0.0,0.0,6.917445,0.9847647,4.026274
20050424,0.9853028559931236,1.0052438,0.0,1.0,1.0052438,1.0021372,0.9954821,0.0,1.0,0.0,0.0,6.9537187,0.9868693,4.008084
20050425,0.9878728206987255,1.0026083,0.0,1.0,1.0026083,1.0012789,0.9984873,0.0,1.0,0.0,0.0,6.9718556,0.9881314,4.002021
20050426,0.9724536181362793,0.9843915,0.0,1.0,0.9843915,0.9765758,0.9893938,0.0,1.0,0.0,0.0,6.8630357,0.9649852,3.9595745
20050427,0.9719397783356367,0.9994716,0.0,1.0,0.9994716,1.003053,0.99693716,0.0,1.0,0.0,0.0,6.8594093,0.9679312,3.9474468
20050428,0.9698836513469463,0.9978845,0.0,1.0,0.9978845,0.9982607,1.0084485,0.0,1.0,0.0,0.0,6.844898,0.9662477,3.9807966
20050501,0.9986668052665859,1.0296769,0.0,1.0,1.0296769,1.0148088,1.0121858,0.0,1.0,0.0,0.0,7.0480337,0.9805566,4.029306
20050502,0.9945546272444259,0.99588233,0.0,1.0,0.99588233,1.0008583,1.0007522,0.0,1.0,0.0,0.0,7.0190125,0.9813982,4.0323367
20050503,0.9971244185072341,1.0025839,0.0,1.0,1.0025839,1.0102918,1.0015038,0.0,1.0,0.0,0.0,7.0371485,0.9914986,4.0384007
20050504,1.0027783032717024,1.0056702,0.0,1.0,1.0056702,0.99660397,1.0112615,0.0,1.0,0.0,0.0,7.07705,0.9881314,4.083879
20050505,1.0140859967580806,1.0112764,0.0,1.0,1.0112764,1.0021298,1.0007428,0.0,1.0,0.0,0.0,7.1568537,0.99023587,4.0869126
20050508,1.016655722990739,1.002534,0.0,1.0,1.002534,1.0033996,0.99629045,0.0,1.0,0.0,0.0,7.174989,0.9936023,4.071752
20050509,1.0387566867011504,1.0217389,0.0,1.0,1.0217389,0.99534124,0.9910647,0.0,1.0,0.0,0.0,7.3309655,0.9889733,4.03537
20050510,1.053662532510725,1.0143497,0.0,1.0,1.0143497,1.0021278,0.99699473,0.0,1.0,0.0,0.0,7.436163,0.99107766,4.0232425
20050511,1.0608582697727922,1.0068293,0.0,1.0,1.0068293,1.0059445,1.0105501,0.0,1.0,0.0,0.0,7.4869466,0.9969691,4.065688
20050512,1.0588021522168043,0.99806184,0.0,1.0,0.99806184,0.9966229,1.0068288,0.0,1.0,0.0,0.0,7.4724355,0.9936023,4.093452
20050515,1.0624001525228255,1.0033982,0.0,1.0,1.0033982,1.0,1.0060283,0.0,1.0,0.0,0.0,7.4978285,0.9936023,4.1181283
