#{"t_start": 1697831160.433219, "env_id": "None"}
r,l,t,rendimiento,porfolio,comision
-0.18216866,100,3.649255,0.8334607758664565,[0.2784846  0.35839847 0.27233943 0.09077749],0.001750000059604645
-0.19845507,100,3.649379,0.8199965604281919,[0.22576047 0.21881773 0.33385733 0.22156447],0.00035718856006860736
-0.22510917,100,3.649454,0.7984290526538429,[0.60261476 0.         0.19724476 0.20014046],0.0021369253396987913
-0.07876941,100,3.649502,0.9242529585816602,[0.20807981 0.29484427 0.20650297 0.29057294],0.0011045970857143403
-0.117744654,100,3.649557,0.8889230260613175,[0.5642479  0.         0.         0.43575206],0.0029934996739029887
0.098893434,100,3.649599,1.1039486519899244,[0.20012932 0.13426438 0.39383098 0.2717753 ],0.0014511822767555717
-0.22019826,100,3.64964,0.8023596848063989,[0.34 0.   0.33 0.33],0.0016499999999999998
-0.1957203,100,3.64968,0.8222421757180817,[1. 0. 0. 0.],0.003302242923527956
-0.21569507,100,6.392753,0.8059810247197086,[0.16834007 0.25128394 0.24902792 0.33134806],0.001149999973922968
-0.0677564,100,6.392868,0.9344881008768903,[0.43026954 0.1402954  0.28980544 0.13962962],0.0010999999999999998
-0.07783,100,6.392944,0.9251216780553152,[0.28353378 0.27113333 0.35578877 0.08954411],0.0015419197306036948
-0.08103566,100,6.392993,0.9221608036808705,[0.8004302  0.         0.         0.19956984],0.0033500000238418583
-0.0790404,100,6.393057,0.9240026005914322,[0.16002972 0.16807207 0.         0.6718982 ],0.0027611398413777354
-0.07563665,100,6.393098,0.9271530283639777,[0.13129596 0.49666062 0.         0.37204343],0.0037514567136764532
-0.12850983,100,6.393139,0.8794049118204632,[0.49924132 0.5007587  0.         0.        ],0.0016468286141753197
-0.10854844,100,6.393178,0.8971354437566251,[0.28 0.29 0.14 0.29],0.0012466415107250212
-0.32659775,100,9.128442,0.721373901527778,[0.2545491  0.24721824 0.2500644  0.24816827],0.000650000050663948
-0.24399528,100,9.128562,0.7834913554154573,[0.3289199  0.16918167 0.33156118 0.17033724],0.0033000000372529026
-0.26154277,100,9.128642,0.7698629261600388,[0.37265536 0.09089068 0.26876247 0.2676915 ],0.0024985668033361435
-0.06800694,100,9.1287,0.9342539768049859,[-0.00996382  0.28908992  0.29191735  0.4289565 ],0.001150000022351742
-0.2950826,100,9.128767,0.7444701132149034,[0.14 0.37 0.37 0.12],0.0019017136707901955
-0.09979164,100,9.128808,0.9050259743306253,[0.13192526 0.49327725 0.12288376 0.25191376],0.0011500000260770322
-0.1813442,100,9.128849,0.8341481715348051,[0.5723262  0.28899804 0.         0.13867576],0.0027999259027652445
-0.04870256,100,9.12889,0.9524643916598194,[0.3390482  0.22026761 0.44068417 0.        ],0.0018500000052154065
-0.17553997,100,11.870188,0.8390038855408929,[0.3086583  0.15122205 0.23128483 0.30883482],0.0008500000506639481
-0.1228402,100,11.870321,0.8844049776137065,[0.11905506 0.33196267 0.43993747 0.10904478],0.0023993798926472665
-0.18826474,100,11.870395,0.8283953952260508,[0. 1. 0. 0.],0.004503282885998487
-0.1848565,100,11.870444,0.8312235528355021,[0.18965527 0.17777069 0.36086464 0.27170938],0.0014959551252424715
-0.15945677,100,11.870511,0.8526068245796089,[0.34 0.   0.22 0.44],0.0033489453792572023
-0.15504114,100,11.870552,0.8563799409668206,[0.32969844 0.16954176 0.17133047 0.32942933],0.002500000074505806
-0.11936327,100,11.870592,0.8874853132454926,[0.009978   0.12035304 0.50048304 0.3691859 ],0.002204599840939045
-0.19752523,100,11.870632,0.8207594131960996,[0.13 0.25 0.12 0.5 ],0.0030999999254941943
-0.15592021,100,14.604258,0.8556274752801244,[0.16806144 0.         0.33042416 0.5015144 ],0.0033030604660511014
-0.116689645,100,14.604403,0.8898613196433178,[0.2598837  0.26987925 0.20165975 0.26857728],0.0016579405158758166
-0.19124816,100,14.604481,0.8259275659255872,[0.16841285 0.1712018  0.32573465 0.33465073],0.0016499999999999998
0.041559108,100,14.604527,1.042434763884094,[0.28033707 0.2861375  0.13674979 0.29677564],0.0005955856017768384
-0.09057975,100,14.604569,0.9134015069197648,[0.3314412  0.3310504  0.1690691  0.16843933],0.0007999999821186066
-0.14919789,100,14.604631,0.8613986389734631,[0.01 0.12 0.5  0.37],0.0009042274713516235
-0.16314295,100,14.604685,0.8494697044652554,[0.34077206 0.4385193  0.22070864 0.        ],0.0018041897878050806
0.038640983,100,14.604729,1.0393973176250249,[0.15 0.23 0.31 0.31],0.0009500000014901161
-0.15713128,100,17.339689,0.8545918407068163,[0.         0.33071902 0.         0.66928095],0.0033500000372529027
-0.23741786,100,17.339808,0.7886616940386721,[0.         0.33196005 0.49848554 0.16955444],0.0008553946763277054
-0.22170223,100,17.339888,0.8011539342253433,[0.         0.3995792  0.40054563 0.19987518],0.001749999985098839
-0.26216364,100,17.33994,0.7693851581334424,[0.44838944 0.         0.44079977 0.11081078],0.0028065179258584976
-0.17444228,100,17.340004,0.8399253210862815,[0.1290757  0.37093318 0.         0.49999112],0.0014999999850988388
-0.23794825,100,17.340046,0.7882434722366304,[0.         0.16452016 0.50545585 0.33002397],0.0030470346748828893
-0.012389373,100,17.340086,0.9876870580409524,[0. 0. 1. 0.],0.004387509115040302
-0.22593944,100,17.340127,0.7977663719345213,[0.43 0.14 0.29 0.14],0.002591449438035488
-0.027649641,100,20.073977,0.972729145432418,[0.         0.         0.6577125  0.34228748],0.0016500000745058058
-0.3270836,100,20.074092,0.721023408601687,[0.        0.        0.4313201 0.5686799],0.003566056489944458
-0.14897348,100,20.074167,0.861591978571272,[0.20050645 0.         0.40146393 0.39802963],0.004000000074505806
-0.20277941,100,20.074215,0.8164582643078983,[0.3 0.4 0.3 0. ],0.0012432485297322275
-0.24144378,100,20.074268,0.7854929399335056,[0.12 0.22 0.44 0.22],0.001099999925494194
-0.3167526,100,20.074315,0.7285109748046622,[0.0100621  0.32896262 0.21950163 0.44147363],0.0021999999999999997
-0.32184666,100,20.074357,0.724809293087459,[0.12160406 0.32886124 0.10942228 0.4401124 ],0.0028
-0.072535895,100,20.074397,0.9300323936976527,[0.0098461  0.43424922 0.3367308  0.21917386],0.001810374296456575
-0.11376004,100,22.814196,0.8924720842324526,[0.         0.         0.4011729  0.59882706],0.0022999999672174455
-0.38747665,100,22.814325,0.6787674707456458,[0.10156034 0.3953768  0.10062924 0.40243363],0.002329398185014725
-0.34990472,100,22.814387,0.7047552351623901,[0.11984377 0.         0.4486588  0.43149745],0.0027245107531547546
-0.11203565,100,22.814436,0.8940123994148573,[0.3280003  0.50175047 0.         0.17024921],0.002502412581443787
-0.18057851,100,22.814503,0.8347870856905958,[0.2609559  0.3289593  0.08028152 0.3298033 ],0.0014455971114337447
0.083737805,100,22.814544,1.087343740089195,[0.28 0.29 0.29 0.14],0.0014499999627470964
-0.15526845,100,22.814587,0.856185312517345,[0.14011644 0.13945307 0.43170983 0.28872064],0.0009094272196292877
-0.17690071,100,22.81463,0.8378629653532657,[0.66359836 0.         0.         0.33640164],0.002741204342246056
0.00955176,100,25.547862,1.0095975263878618,[0.19961393 0.19841246 0.40395662 0.19801699],0.000999999925494194
-0.13719097,100,25.547978,0.871803731657087,[0.3776033  0.         0.50315356 0.11924314],0.002250000038743019
-0.22696905,100,25.548053,0.7969454371448502,[0.13 0.5  0.   0.37],0.003140751192718745
-0.21719672,100,25.548104,0.8047716620315437,[0.2520696 0.7479304 0.        0.       ],0.0037528624013066295
-0.1340071,100,25.548152,0.874583822189965,[0.1601181  0.         0.6695474  0.17033452],0.0021919347256422043
-0.20007166,100,25.54821,0.8186720776878863,[0.09953485 0.39991602 0.30259213 0.19795702],0.0034999999999999996
-0.1604793,100,25.548251,0.8517354677161267,[0.1703066  0.16961733 0.3272389  0.3328372 ],0.0007928123876452446
-0.1373341,100,25.548291,0.8716789724800079,[0.43 0.14 0.29 0.14],0.0020995625286363067
-0.2654682,100,28.296345,0.7668468142759971,[0.34 0.   0.44 0.22],0.002221776860952377
0.037418414,100,28.29646,1.038127307815101,[0.01002559 0.33542952 0.43492356 0.21962133],0.0030019261524081233
-0.16725783,100,28.296536,0.8459814624428132,[0.14 0.37 0.12 0.37],0.0011567611381411553
-0.13932553,100,28.296583,0.8699447807187096,[0.01002175 0.21937332 0.4382104  0.33239454],0.0026000000000000003
-0.104720876,100,28.296656,0.9005758577703603,[0.00999558 0.3574049  0.2709863  0.36161324],0.0033000000089406967
-0.24672924,100,28.296703,0.7813522110467569,[0.34 0.22 0.33 0.11],0.0029061942115426067
