#{"t_start": 1697853623.310433, "env_id": "None"}
r,l,t,rendimiento,porfolio,comision
-0.28227085,100,0.966592,0.7540694208085231,[0. 0. 1.],0.002506973147392273
-0.021978851,100,0.966709,0.9782609119242998,[0.4959247  0.33363605 0.17043924],0.0031653962373733523
-0.28258035,100,0.966785,0.753836071041924,[0. 0. 1.],0.00351171150803566
-0.31264395,100,0.966827,0.7315103443356913,[0.33985665 0.33028248 0.32986087],0.0005678812503814697
-0.26045644,100,0.966888,0.7706997600277183,[0.12857915 0.37052613 0.5008947 ],0.0018055839836597443
-0.09465831,100,0.966928,0.9096837179442095,[0.4963884 0.        0.5036116],0.0012561028450727462
-0.23592219,100,0.966967,0.789842119290593,[0.28130326 0.42958206 0.28911468],0.0023299725413322447
-0.14387362,100,0.967005,0.8659971952943111,[0.45023668 0.43980378 0.10995956],0.0009545868381857873
-0.24485405,100,1.825548,0.7828187980754716,[0.38062954 0.25159666 0.3677738 ],0.001900803992152214
-0.3467727,100,1.825662,0.7069660423539793,[0.         0.50097746 0.49902254],0.001410423368215561
-0.11799231,100,1.825738,0.8887029126766138,[0. 1. 0.],0.0030147340893745423
-0.38936785,100,1.82579,0.6774850372256969,[1. 0. 0.],0.004008187390863896
-0.14385138,100,1.825854,0.8660164749044388,[0.50124604 0.49875396 0.        ],0.0018048368394374848
-0.037385646,100,1.825894,0.9633045719294419,[0. 0. 1.],0.004009697213768959
-0.024238091,100,1.825932,0.9760532965433728,[1. 0. 0.],0.0031172368675470353
-0.24460852,100,1.825968,0.7830110578672921,[0.49356723 0.         0.5064328 ],0.002510850951075554
-0.22710642,100,2.668933,0.7968359808951403,[0.33984202 0.44228116 0.2178768 ],0.0017000000000000001
-0.10398572,100,2.669046,0.9012381830039793,[0.14006636 0.2892612  0.57067245],0.0018005977973341942
-0.20306778,100,2.669125,0.8162229285719074,[0.33770838 0.44584534 0.21644631],0.0017000000745058062
0.14789304,100,2.669166,1.1593888964760872,[0. 0. 1.],0.0033357760310173037
