#{"t_start": 1697491512.679828, "env_id": "None"}
r,l,t,rendimiento,rentabilidadMedia,aciertos,errores,aciertosplus
0.13841118,100,3.74445,1.1074099693751416,0.05300199558332989,11.0,12.0,1.0
0.21480298,100,3.74449,1.092614749903243,0.05248816676971753,8.0,14.0,2.0
0.10611728,100,3.744499,1.0758194621372856,0.0384531984862897,14.0,8.0,1.0
0.19212063,100,3.744505,1.1666649485431246,0.07963641361128207,13.0,10.0,1.0
0.03426208,100,3.744534,0.9875909933539289,-0.003432667969366073,4.0,10.0,1.0
0.36210737,100,3.744539,1.203428100585977,0.10617443144261479,13.0,9.0,3.0
0.22360249,100,3.744544,1.1909416408090612,0.09061477729563545,13.0,13.0,1.0
0.075755574,100,3.74455,1.0753250352738473,0.03787778915829445,13.0,9.0,0.0
0.14237633,100,6.211324,1.15018499253603,0.07118817200178866,10.0,9.0,0.0
0.0014069793,100,6.211363,1.0001125219174414,0.0007034873282637725,10.0,12.0,0.0
0.15332751,100,6.211373,1.1623923872625062,0.07666375106667032,16.0,9.0,0.0
0.42453483,100,6.211391,1.3066116345882994,0.13977886585547514,10.0,9.0,4.0
-0.058600742,100,6.211397,0.9407312975095903,-0.029300372155112955,8.0,11.0,0.0
0.053086244,100,6.211403,1.0220397662018377,0.01270010061337403,9.0,11.0,1.0
-0.012290335,100,6.211409,0.986195817652972,-0.006145164910780131,9.0,15.0,0.0
0.14723332,100,6.211415,1.1136008107821405,0.0560344344912158,11.0,12.0,1.0
0.26808414,100,8.60928,1.2161600061901854,0.10064385191678349,13.0,9.0,2.0
-0.055761054,100,8.609318,0.9450007168752936,-0.027880526882776605,9.0,16.0,0.0
-0.023884978,100,8.609328,0.9749640256366465,-0.011942490065809165,9.0,14.0,0.0
0.08524286,100,8.609345,1.056735517894194,0.029680262749512173,11.0,8.0,1.0
0.046311475,100,8.609351,1.0459197817855206,0.023155739998503462,8.0,10.0,0.0
0.020960264,100,8.609356,1.019280490335555,0.010480128637102366,10.0,12.0,0.0
0.007281553,100,8.609361,1.0050050604565242,0.003640776566733819,10.0,7.0,0.0
-0.061846316,100,8.609367,0.9380990704784161,-0.0309231539698666,7.0,11.0,0.0
0.039381392,100,10.987112,1.0373627667060565,0.019690700125244494,14.0,10.0,0.0
0.0010854604,100,10.987151,0.9984187918874485,0.0005427275202225378,7.0,14.0,0.0
0.033562016,100,10.987161,1.0321827791907243,0.016781010605538486,10.0,9.0,0.0
0.035172984,100,10.987179,1.030915244626928,0.0175864904252183,10.0,9.0,0.0
-0.015773317,100,10.987184,0.9832421773514177,-0.007886659930832434,8.0,15.0,0.0
0.18083215,100,10.98719,1.1167003121222447,0.058178748474940846,11.0,10.0,2.0
-0.0048249355,100,10.987195,0.9936946551403438,-0.0024124683911163096,11.0,12.0,0.0
0.23774132,100,10.987201,1.226968428148746,0.10446758083065803,13.0,6.0,1.0
-0.058813456,100,13.357577,0.9411943121231424,-0.02940672770857137,9.0,13.0,0.0
0.06211881,100,13.357613,1.061602365248636,0.031059405653194365,16.0,11.0,0.0
0.0263865,100,13.357622,1.022143866078524,0.013193249959406622,8.0,13.0,0.0
0.15543927,100,13.35764,1.1648194603809559,0.07771963860548513,13.0,8.0,0.0
-0.048772372,100,13.357646,0.9511007862905919,-0.024386186046798715,5.0,16.0,0.0
0.010640301,100,13.357651,0.9785722053419937,-0.007639544195208348,10.0,11.0,1.0
0.15376553,100,13.357657,1.1203626229688324,0.058549011640674345,10.0,10.0,1.0
-0.04534137,100,13.357662,0.9545260303163041,-0.022670681676790663,8.0,13.0,0.0
0.25794572,100,15.74748,1.2124265312617382,0.09913705392183847,12.0,8.0,2.0
-0.13167976,100,15.747522,0.8718169112001843,-0.06583988042738556,4.0,15.0,0.0
0.07657571,100,15.747532,1.0273333433704,0.018633604768107506,10.0,10.0,1.0
-0.03828071,100,15.747553,0.8892104450002283,-0.05191014824030543,9.0,13.0,2.0
0.21894987,100,15.747559,1.2051905877339004,0.09486947835261493,16.0,3.0,1.0
0.08226603,100,15.747565,1.0828648401604095,0.04113301515257216,8.0,11.0,0.0
-0.015747149,100,15.747571,0.9832750002209428,-0.007873573731067875,10.0,10.0,0.0
0.034005996,100,15.747577,1.0322017464398596,0.017002997468352477,11.0,10.0,0.0
0.04085873,100,18.124891,1.039182699334663,0.020429364891579094,9.0,10.0,0.0
0.2083529,100,18.124928,0.9533917969919262,0.0032424544449767556,10.0,15.0,3.0
0.33689168,100,18.124936,1.1733302081430321,0.0936708746238262,10.0,15.0,3.0
0.39683145,100,18.124961,1.3044929022197478,0.14189666711765136,13.0,9.0,2.0
-0.07902339,100,18.124967,0.9197881181588189,-0.03951168953348093,8.0,12.0,0.0
0.124739155,100,18.124972,1.1302847419378552,0.06236957007480794,13.0,9.0,0.0
-0.019775148,100,18.124977,0.9790008124456212,-0.009887574371069331,10.0,10.0,0.0
0.27903938,100,18.124983,1.159898625021376,0.08190976690101338,11.0,9.0,3.0
0.2469274,100,20.509448,1.1971719777587089,0.09388325436531106,12.0,7.0,1.0
0.31403786,100,20.50949,1.2530260745650819,0.1166083530389162,12.0,8.0,2.0
0.8093114,100,20.509498,1.63845528405376,0.268815759207443,12.0,7.0,5.0
0.39917347,100,20.509517,1.3867999981638208,0.16834505831607427,14.0,12.0,2.0
0.15339921,100,20.509523,1.125712427828201,0.060606127751015676,16.0,9.0,1.0
0.1338978,100,20.509528,1.139816612715507,0.06694889991838064,14.0,5.0,0.0
0.21425544,100,20.509533,1.1926008015609975,0.09079402096585193,14.0,10.0,1.0
0.02587089,100,20.509538,1.0243232360554895,0.01293544371361223,11.0,9.0,0.0
0.013846565,100,22.908754,1.0122256248875234,0.006923282676713651,8.0,13.0,0.0
0.0005196987,100,22.908792,0.9985510832471851,0.0002598487484274056,9.0,13.0,0.0
0.2780099,100,22.908801,1.2144813942894004,0.10093046454211108,11.0,9.0,2.0
0.07533071,100,22.908819,1.074754194964994,0.037665353474458374,9.0,9.0,0.0
0.19954501,100,22.908825,1.0819502876759406,0.052192611320576794,10.0,16.0,1.0
-0.08370373,100,22.90883,0.9179505549763399,-0.04185186373867888,5.0,13.0,0.0
0.01964987,100,22.908836,1.0174350189073744,0.009824934460271516,10.0,16.0,0.0
0.41876292,100,22.908842,1.371527010438497,0.1641191013806396,15.0,10.0,2.0
0.08265406,100,25.301314,1.083514192405189,0.04132702946319351,9.0,7.0,0.0
-0.025530476,100,25.301354,0.9706519206983255,-0.012765241860417262,13.0,13.0,0.0
0.044311702,100,25.301364,1.0436788985497436,0.022155851427056436,11.0,6.0,0.0
0.15422344,100,25.301382,1.1102213661129237,0.056548017941860554,10.0,12.0,1.0
0.053438514,100,25.301388,1.0538942927084034,0.026719256583327636,13.0,7.0,0.0
0.2161704,100,25.301394,1.1447675813283238,0.07195036470717009,9.0,9.0,2.0
0.1632058,100,25.3014,1.1311917482391163,0.06461688421785314,11.0,8.0,1.0
0.080604255,100,25.301405,1.0806304112425371,0.04030212734266609,9.0,9.0,0.0
0.07686911,100,28.670066,1.0497922696542032,0.025680304329490155,12.0,12.0,1.0
0.11578098,100,28.670106,1.1207991203202803,0.05789049407838005,13.0,9.0,0.0
0.03881825,100,28.670115,1.0385436882825285,0.01940912480679176,9.0,9.0,0.0
0.12266178,100,28.670121,1.1262408311676912,0.06133088275851235,15.0,9.0,0.0
0.0849672,100,28.670138,1.0835120045758349,0.04248359732277131,16.0,10.0,0.0
-0.021328459,100,28.670143,0.9440611513086965,-0.02697560064945697,4.0,12.0,1.0
0.09644834,100,28.670149,1.050209285352959,0.027660457940520085,8.0,14.0,1.0
0.12371122,100,28.670154,1.1011253006440942,0.04907218500543481,13.0,7.0,1.0
0.1469005,100,31.045528,1.1059692041901295,0.05292887503364528,8.0,9.0,1.0
-0.043184437,100,31.045567,0.9406632288896567,-0.021592213493469604,10.0,10.0,0.0
0.08036225,100,31.045577,1.033767387504299,0.019201460855955484,9.0,15.0,1.0
-0.027630905,100,31.045593,0.9699292857774606,-0.013815452978228235,9.0,14.0,0.0
0.18232138,100,31.045598,1.1964432072920963,0.09116068790164711,12.0,8.0,0.0
0.067178525,100,31.045604,1.028012100897776,0.016028162767439354,11.0,11.0,1.0
0.37900305,100,31.045609,1.2206756379309052,0.11063308840308424,9.0,13.0,3.0
-0.032068342,100,31.045614,0.9663388653463264,-0.016034169109907515,11.0,16.0,0.0
0.23195675,100,33.423172,1.1787582262364205,0.08573169625383928,9.0,8.0,2.0
0.21549769,100,33.423211,1.0826536789356054,0.04541327949051902,8.0,13.0,4.0
0.3129309,100,33.423221,1.2751144213531715,0.12695322976438356,13.0,13.0,1.0
0.03688132,100,33.423227,1.0363642298598255,0.01844066276492097,7.0,11.0,0.0
0.036350578,100,33.423233,1.0352740790529016,0.018175288889674825,14.0,13.0,0.0
0.26455706,100,33.423239,1.1648232885230272,0.08235248042217498,9.0,9.0,2.0
0.03518296,100,33.423244,0.979294048770184,-0.005704171385455606,8.0,15.0,1.0
-0.041076537,100,33.423255,0.9575164217146804,-0.020538271855149295,11.0,10.0,0.0
0.09599252,100,35.88182,1.0991453289263777,0.04799626565547838,12.0,6.0,0.0
0.19476607,100,35.881873,1.167815703191077,0.07987950774888186,10.0,10.0,1.0
0.04388722,100,35.881884,1.0014833793240425,0.005321896834211762,9.0,11.0,1.0
-0.1114824,100,35.881892,0.8900018198055949,-0.055741198814565074,7.0,13.0,0.0
0.14778067,100,35.8819,1.1216075807828878,0.06010615195945554,11.0,12.0,1.0
-0.01146231,100,35.881907,0.9873664892198746,-0.005731155801056187,6.0,16.0,0.0
0.29200312,100,35.881913,1.2750621130139415,0.12543783629486324,11.0,10.0,1.0
0.10964097,100,35.88192,1.0403672606719827,0.024665828933115343,12.0,13.0,2.0
0.121186264,100,38.290516,1.076690162400251,0.03961346196079316,7.0,12.0,1.0
0.013399176,100,38.290574,1.008811145238355,0.006699588483168721,12.0,14.0,0.0
0.34673718,100,38.290584,1.2207818803304022,0.10990987961623097,8.0,15.0,2.0
0.13267262,100,38.290591,1.102434918993105,0.05024282713354608,12.0,11.0,1.0
0.019264549,100,38.290596,1.0168650150774827,0.009632274000254674,9.0,14.0,0.0
0.2335251,100,38.290602,1.2045760511081773,0.09619883770566641,12.0,8.0,1.0
-0.026674617,100,38.290607,0.9713709050657235,-0.013337309765175283,8.0,13.0,0.0
0.18598296,100,38.290613,1.1231588666594972,0.06297303773523527,10.0,12.0,1.0
0.08664328,100,40.701356,1.0571405173279533,0.029502634167830666,8.0,10.0,1.0
0.10183681,100,40.701398,1.1051354088988354,0.05091840396196257,12.0,12.0,0.0
0.01694116,100,40.701407,1.0155522118112092,0.008470577190808402,9.0,14.0,0.0
0.22589073,100,40.701423,1.1563023663620315,0.07670399836878879,14.0,10.0,2.0
0.12578352,100,40.701428,1.09401856377643,0.046717396654339945,11.0,11.0,1.0
-0.0038702665,100,40.701434,0.9947981646555372,-0.0019351324354303133,8.0,11.0,0.0
0.1585282,100,40.70144,1.1678612456202209,0.07926410912850139,14.0,5.0,0.0
-0.007532967,100,40.701445,0.9610757463621955,-0.01832928033131192,8.0,16.0,1.0
0.5374092,100,43.082858,1.429034745958172,0.1876738755224169,11.0,4.0,3.0
0.05775679,100,43.082894,1.0570219599694997,0.02887839448826603,11.0,11.0,0.0
0.22336863,100,43.082904,1.2125761455779913,0.09822717948980589,18.0,7.0,1.0
0.6101149,100,43.08291,1.5352303743521052,0.22451024457156957,13.0,10.0,3.0
0.17369828,100,43.082925,1.1077025588123184,0.053837708847375196,9.0,8.0,2.0
0.014454679,100,43.082931,1.0133292138121253,0.007227340096477244,9.0,12.0,0.0
0.032715123,100,43.082936,1.031030149486932,0.016357558272474693,14.0,9.0,0.0
0.044767372,100,43.082941,1.0437352795431474,0.022383688534070818,11.0,7.0,0.0
0.110142075,100,45.538677,1.0814074080604148,0.04128685870547087,15.0,10.0,1.0
0.08095061,100,45.538718,1.0812331758168634,0.04047529668423222,11.0,7.0,0.0
0.21628745,100,45.538728,1.1663933131107393,0.07952034317620214,12.0,9.0,2.0
0.16597705,100,45.538734,1.1022860558930645,0.051302570615569976,12.0,14.0,2.0
-0.0499852,100,45.538742,0.9483031488744199,-0.02499260109228487,7.0,14.0,0.0
0.09530845,100,45.538748,1.0450274711971388,0.026449736411932972,11.0,8.0,1.0
0.49063143,100,45.538777,1.443351948743892,0.19118554727447892,13.0,8.0,2.0
0.32099923,100,45.538782,1.2660827378435264,0.12184168219861617,15.0,8.0,2.0
0.028060112,100,47.93357,1.0262846844789717,0.014030058907821113,8.0,10.0,0.0
-0.009283944,100,47.933612,0.9883252547972577,-0.004641970523686066,9.0,11.0,0.0
0.30726466,100,47.933621,1.2761276550123168,0.12462907428177553,16.0,5.0,2.0
0.15874137,100,47.933652,1.1676240864771945,0.07937068842341083,13.0,9.0,0.0
0.015492058,100,47.933657,1.0128091393811873,0.007746028564083453,7.0,12.0,0.0
-0.10080001,100,47.933662,0.9026660467455486,-0.050400002746545984,8.0,18.0,0.0
0.006465204,100,47.933668,0.9726835111827566,-0.011454025968953003,6.0,12.0,1.0
0.060786504,100,47.933673,1.061648388764617,0.030393251905935656,11.0,8.0,0.0
0.007707121,100,50.326817,1.0052868159256423,0.003853564963345173,9.0,11.0,0.0
0.078823656,100,50.326856,1.039628054520177,0.023236599059353158,10.0,10.0,1.0
-0.037091106,100,50.326865,0.9598400007971859,-0.018545555590226234,7.0,17.0,0.0
0.15875952,100,50.326904,1.167049075797076,0.079379771907673,17.0,5.0,0.0
0.32796726,100,50.32691,1.201846630029629,0.09909492163337211,11.0,8.0,3.0
0.14391898,100,50.326915,1.1203677164569448,0.058228332272869346,11.0,9.0,1.0
0.1278208,100,50.326921,1.1327172383254644,0.06391040051667547,12.0,8.0,0.0
0.07333313,100,50.326926,1.0731931855523131,0.03666656668088665,9.0,9.0,0.0
0.19087225,100,56.616188,1.1619070921789774,0.07754349724108445,11.0,8.0,1.0
-0.117028974,100,56.616229,0.8883746154921512,-0.05851448151362905,6.0,13.0,0.0
0.10709089,100,56.616238,1.1102741326149268,0.05354544654811597,11.0,12.0,0.0
0.09243516,100,56.616269,1.053635476976459,0.029853308116708416,13.0,8.0,1.0
0.26192477,100,56.616275,1.2028305087202262,0.09561456159446395,10.0,7.0,2.0
0.0697027,100,56.61628,1.07069459895869,0.034851349890140965,15.0,8.0,0.0
0.28544632,100,56.616285,1.1833882705795526,0.09070805152473876,10.0,8.0,2.0
0.5353162,100,56.61629,1.3446758984351204,0.16135046456705107,9.0,14.0,4.0
0.05712305,100,59.002891,1.0566152294762206,0.028561526678381965,12.0,10.0,0.0
0.08187653,100,59.002933,1.0364689200294153,0.01995859750393001,5.0,12.0,1.0
0.095540784,100,59.002943,1.0975083301702209,0.04777039216512914,11.0,9.0,0.0
0.07773769,100,59.002974,1.0519483552783704,0.026367489154526236,10.0,9.0,1.0
-0.114667594,100,59.00298,0.8895168833026158,-0.05733379680849921,6.0,17.0,0.0
-0.0027350057,100,59.002985,0.9954144102879051,-0.0013675057471902842,9.0,13.0,0.0
0.05900956,100,59.002992,1.0594861893311622,0.029504783819649896,9.0,9.0,0.0
0.35874495,100,59.002998,1.1897915445583007,0.09571190847115899,9.0,8.0,4.0
0.06343334,100,61.384701,1.01491099423204,0.012062413582874333,7.0,14.0,1.0
0.346469,100,61.384741,1.2639431607442955,0.12173285806650908,10.0,8.0,3.0
0.36668453,100,61.38475,1.238721789359898,0.1165906816311894,14.0,9.0,3.0
-0.08882436,100,61.384757,0.9129341594399025,-0.04441218011201674,5.0,17.0,0.0
0.25082743,100,61.384788,1.237828240783579,0.11099652396218727,13.0,8.0,1.0
0.10364545,100,61.384794,1.1060876715608112,0.05182272162441208,12.0,11.0,0.0
-0.0093356585,100,61.384799,0.9885882254900735,-0.004667827272184352,8.0,17.0,0.0
0.32518667,100,61.384805,1.2808108594994143,0.12724550570037824,15.0,8.0,2.0
0.19728231,100,63.781907,1.1211616545798058,0.06350397641551948,8.0,12.0,1.0
0.016963826,100,63.781944,1.013245525502718,0.008481910655432962,9.0,10.0,0.0
0.35843945,100,63.781979,1.2611152524394358,0.12149163267810068,11.0,8.0,3.0
-0.008341588,100,63.781986,0.9615990919369232,-0.017104252557815683,11.0,12.0,1.0
0.4478533,100,63.781992,1.3183225668733878,0.14825906506064201,13.0,7.0,3.0
0.037496507,100,63.781997,1.0371180676956235,0.01874825123429951,8.0,15.0,0.0
-0.022127591,100,63.782002,0.9773309118124541,-0.01106379509669981,10.0,15.0,0.0
-0.0040457845,100,63.782008,0.9124172686643198,-0.03826425023010602,11.0,10.0,2.0
0.0327286,100,66.251093,1.0298341626427945,0.016364301000673178,10.0,14.0,0.0
0.018110752,100,66.251132,1.0128031433932478,0.009055372725648703,10.0,15.0,0.0
0.08464523,100,66.251142,1.0863289399292675,0.04232261664129956,9.0,9.0,0.0
-0.09789658,100,66.251172,0.903962521026134,-0.04894829745846439,7.0,17.0,0.0
0.35780483,100,66.251178,1.1946436315728695,0.10003398194316179,9.0,10.0,3.0
-0.028057957,100,66.251184,0.9716276984641004,-0.014028976684513842,8.0,10.0,0.0
