#{"t_start": 1696269875.0034056, "env_id": "None"}
r,l,t,rendimiento,rentabilidadMedia,aciertos,errores,aciertosplus
-154.08394,500,2.227408,0.8789513026905597,-0.041964295236393334,54.0,37.0,0.0
-160.7618,500,4.500942,1.2015866022488648,0.10025590480418922,48.0,36.0,1.0
-139.05194,500,7.065412,0.9119211944384705,-0.04035590222492158,45.0,36.0,1.0
-147.16728,500,9.345443,0.8260825136050227,-0.08364333087959519,40.0,46.0,0.0
-147.67862,500,11.961682,1.322954592227991,0.1451892234957508,46.0,25.0,1.0
-149.71756,500,14.205586,1.1388354547138053,0.08007022158913574,38.0,29.0,3.0
-136.39604,500,16.868215,0.6371011058157228,-0.21075289992321145,28.0,36.0,1.0
-139.98485,500,19.083851,0.9653229029115658,-0.00973061694282823,42.0,32.0,1.0
-136.09027,500,21.666238,0.8368305280796775,-0.07825147219594258,27.0,31.0,2.0
-126.5939,500,23.849043,1.3048291222321835,0.1433622083846155,39.0,28.0,3.0
-109.97152,500,26.797558,0.9373831886390513,-0.022049292366970452,32.0,31.0,2.0
-122.76168,500,28.92718,1.221177392041725,0.10552616600367132,39.0,25.0,1.0
-117.4462,500,31.860319,1.5660050830584575,0.23553289114629955,36.0,18.0,1.0
-132.11424,500,33.953155,0.745397334187534,-0.12777252544263512,27.0,25.0,3.0
-93.041595,500,36.671775,0.8844363272944293,-0.05463585330315629,25.0,37.0,2.0
-94.68528,500,38.73,1.1709460728037004,0.09032344194298786,24.0,19.0,4.0
-89.603455,500,41.357968,1.3242128218338582,0.15017417655597215,29.0,15.0,2.0
-99.04902,500,43.446216,0.9080100154904915,-0.04220991466268936,23.0,24.0,1.0
-99.19433,500,46.055248,0.7563950576139269,-0.1272062108769666,21.0,29.0,2.0
-78.58829,500,48.200882,0.9703325851263055,0.03780894565221582,21.0,19.0,7.0
-77.963356,500,50.697688,1.0290380170062554,0.018328454450203868,19.0,16.0,0.0
-91.65051,500,52.978817,1.2692729244138252,0.12870143590617117,23.0,14.0,3.0
-64.10587,500,55.491547,0.8677625048855763,-0.06588300010883935,16.0,20.0,1.0
-89.15006,500,57.74659,0.845899626060973,-0.07502353573710896,18.0,22.0,0.0
-64.11075,500,60.192976,0.7808467937096475,-0.11054363846580367,14.0,18.0,3.0
-69.03381,500,62.418019,0.924840556871195,-0.02974228511796073,17.0,13.0,1.0
-85.98168,500,64.919363,1.0124570229043084,0.009158677363355683,17.0,16.0,0.0
-65.13241,500,67.087651,0.8108582239787376,-0.09482230342263842,16.0,13.0,2.0
-59.33219,500,69.675485,1.516638126225878,0.22420006909586432,19.0,11.0,4.0
-43.00523,500,71.762193,0.8990939159557261,-0.042945395582673795,9.0,12.0,2.0
-40.615185,500,74.384799,1.248039212574204,0.11765083655619313,11.0,8.0,4.0
-32.032135,500,76.509561,0.8682580570324036,-0.06278257343277471,11.0,11.0,3.0
-37.314938,500,79.145318,0.7183579821620266,-0.1574690479912343,6.0,9.0,0.0
-26.90897,500,81.211263,1.0601986591808295,0.03177455832520937,8.0,5.0,1.0
-41.11669,500,84.134954,0.8019035012537181,-0.0948313069784712,5.0,8.0,1.0
-12.967468,500,86.194864,0.9500987294857383,-0.017578891126316387,1.0,3.0,1.0
-15.706734,500,89.015166,1.168075631247108,0.09144888995663364,4.0,3.0,1.0
-18.080248,500,91.13244,0.9197265812824127,-0.0401240996226952,3.0,8.0,0.0
-18.94154,500,93.600101,1.050850765046084,0.02923006866401856,4.0,1.0,0.0
-19.188751,500,95.879994,0.8212942878610462,-0.09437653078111702,3.0,5.0,0.0
-23.96244,500,98.313839,1.0062255973758605,0.005295156584687544,9.0,5.0,1.0
-40.82492,500,100.587285,1.006548806584081,0.019978803847422788,12.0,11.0,2.0
-32.359467,500,102.746447,1.3548795832027059,0.17302708890421314,11.0,10.0,6.0
-1.9274689,500,105.465331,1.073685644143755,0.036265589609459636,3.0,1.0,0.0
-14.985077,500,107.615459,0.8876319962638515,-0.04169878756970852,2.0,3.0,1.0
-47.690517,500,110.234546,1.2482862319094596,0.11733795101889233,10.0,4.0,2.0
-20.81829,500,112.451429,1.0955970394133359,0.05088196914756887,5.0,5.0,2.0
-8.726091,500,114.966931,1.1830972152330632,0.08856501146937423,3.0,1.0,2.0
-27.798641,500,117.069733,0.42513454273931917,-0.39931873215866054,4.0,14.0,0.0
-9.867389,500,119.525903,1.0600895078053705,0.03585480058165397,3.0,2.0,1.0
-1.7772809,500,121.797874,1.1484793640587854,0.07423968202939268,1.0,0.0,1.0
-7.944322,500,124.156664,0.9840008928840768,-0.002828462958512079,1.0,4.0,1.0
-9.000359,500,126.192109,0.999631401881686,-0.00017933883275689233,1.0,1.0,0.0
-2.1914272,500,128.607385,0.8159286612250599,-0.09571358379994499,1.0,2.0,0.0
-2.0,500,130.808925,1.0,0.0,0.0,0.0,0.0
-3.0119915,500,133.239945,0.9880084468155533,-0.005995776592223334,0.0,1.0,0.0
-55.0,500,135.477974,1.0,0.0,0.0,0.0,0.0
-9.012047,500,137.880034,0.9417673550197346,-0.025698910810086795,2.0,4.0,1.0
-64.0,500,140.075874,1.0,0.0,0.0,0.0,0.0
-29.995922,500,142.639666,1.0040772896071979,0.0020386448035989435,1.0,0.0,0.0
-7.0555363,500,144.667295,0.9431357236438,-0.0277680763887459,1.0,2.0,0.0
-158.0,500,147.403793,1.0,0.0,0.0,0.0,0.0
-4.837907,500,149.476409,1.1223912818717987,0.0596473192404372,3.0,0.0,1.0
-4.009388,500,152.370242,0.9906118164695641,-0.004694091765217956,0.0,1.0,0.0
-15.072602,500,154.381258,0.8645745077172435,-0.05823142145129084,2.0,3.0,1.0
-4.71179,500,156.889239,1.1706048698897784,0.08599282458532931,2.0,1.0,2.0
-1.9591049,500,158.952195,1.0408951240632267,0.020447562031613353,1.0,0.0,0.0
-39.125168,500,161.919951,0.7634776636226185,-0.10459999345592941,8.0,9.0,2.0
-1.0,500,163.975234,1.0,0.0,0.0,0.0,0.0
-1.0,500,166.718265,1.0,0.0,0.0,0.0,0.0
-199.0,500,168.751056,1.0,0.0,0.0,0.0,0.0
-2.0,500,171.290512,1.0,0.0,0.0,0.0,0.0
-5.0893006,500,173.404977,0.912414865777357,-0.04465045343415791,0.0,2.0,0.0
-200.0,500,175.771419,1.0,0.0,0.0,0.0,0.0
-1.0,500,178.008425,1.0,0.0,0.0,0.0,0.0
0.17916887,500,180.369215,1.119445913788484,0.05972295689424201,1.0,0.0,1.0
-3.0220723,500,182.611727,0.9779275158178582,-0.011036242091070902,0.0,1.0,0.0
-11.006188,500,185.023159,0.9324370407777686,-0.02927417082248407,1.0,3.0,1.0
-7.0,500,187.273303,1.0,0.0,0.0,0.0,0.0
-35.75803,500,189.696674,0.40894396341557876,-0.413022896236924,9.0,22.0,2.0
-17.402967,500,191.797733,0.6515276875286896,-0.20148390952763412,0.0,6.0,0.0
-10.841085,500,194.292206,1.0307536233921348,0.027607446026691407,2.0,1.0,2.0
-199.0,500,196.37625,1.0,0.0,0.0,0.0,0.0
-198.0,500,198.839376,1.0,0.0,0.0,0.0,0.0
-199.0,500,200.887194,1.0,0.0,0.0,0.0,0.0
-5.0283666,500,203.10373,0.9716332073282788,-0.014183396335860576,0.0,1.0,0.0
-44.98944,500,205.511483,0.8796347056874445,-0.05047710655383808,9.0,10.0,2.0
-0.023153938,500,207.727842,0.9768460615060973,-0.01157696924695134,0.0,1.0,0.0
-40.09822,500,210.123247,0.6491621808646543,-0.1670727787321133,7.0,9.0,4.0
0.0,500,212.383467,1.0,0.0,0.0,0.0,0.0
-10.150247,500,214.920811,0.8135185908134325,-0.09651008103060277,1.0,6.0,1.0
0.0,500,216.972467,1.0,0.0,0.0,0.0,0.0
-1.0931416,500,219.738508,0.9068584677420559,-0.04657076612897204,0.0,1.0,0.0
-3.0,500,221.772812,1.0,0.0,0.0,0.0,0.0
-3.1517105,500,224.730187,0.8482895897725142,-0.07585520511374289,0.0,1.0,0.0
-1.0897915,500,226.821809,0.9102084968267858,-0.04489575158660708,0.0,1.0,0.0
-6.288583,500,229.571353,0.7265066313306807,-0.1442914277678628,0.0,2.0,0.0
-6.195658,500,231.60947,0.6511461111813296,-0.15250777538394283,3.0,2.0,2.0
-2.7885888,500,234.201152,1.140940817422122,0.07047040871106103,1.0,0.0,1.0
-1.0,500,236.338744,1.0,0.0,0.0,0.0,0.0
0.0,500,238.992934,1.0,0.0,0.0,0.0,0.0
-1.0,500,241.157841,1.0,0.0,0.0,0.0,0.0
0.015429116,500,243.708647,1.015429115502848,0.007714557751424045,1.0,0.0,0.0
-199.0,500,246.015706,1.0,0.0,0.0,0.0,0.0
-148.0,500,248.537522,1.0,0.0,0.0,0.0,0.0
0.0,500,250.872285,1.0,0.0,0.0,0.0,0.0
-2.0,500,253.436293,1.0,0.0,0.0,0.0,0.0
-200.0,500,255.778018,1.0,0.0,0.0,0.0,0.0
-201.0,500,258.364097,1.0,0.0,0.0,0.0,0.0
-200.0,500,260.715217,1.0,0.0,0.0,0.0,0.0
-157.0,500,263.134207,1.0,0.0,0.0,0.0,0.0
-1.0,500,265.295275,1.0,0.0,0.0,0.0,0.0
-15.753184,500,267.845612,1.1536885964385597,0.07958570974454449,2.0,1.0,1.0
-24.4228,500,269.901185,0.5451263613702946,-0.2250244714088357,1.0,3.0,1.0
-62.06072,500,272.504556,0.9392809405311638,-0.030359529734418078,0.0,1.0,0.0
-10.27306,500,274.526926,0.751826524995628,-0.13652972933183988,0.0,4.0,0.0
-27.141182,500,277.174505,1.3346180602311293,0.2440167504434984,3.0,3.0,2.0
-33.982376,500,279.203855,0.858386974150194,-0.04110108035411941,6.0,4.0,2.0
-91.65079,500,282.122704,1.2328060160744514,0.1164030080372257,1.0,0.0,1.0
-199.0,500,284.132469,1.0,0.0,0.0,0.0,0.0
-16.064365,500,286.997148,0.9353877996671094,-0.03218262519140774,1.0,1.0,0.0
-113.0,500,289.016406,1.0,0.0,0.0,0.0,0.0
-3.8614151,500,291.466503,1.042529450192529,0.028180153086341808,1.0,3.0,1.0
-0.90531224,500,293.6079,1.0631251835937612,0.03156259179688059,1.0,0.0,1.0
0.35580635,500,295.964864,1.2497680364748096,0.122371918061142,2.0,0.0,1.0
