#{"t_start": 1697830111.0094197, "env_id": "None"}
r,l,t,rendimiento,porfolio,comision
-0.043393537,100,1.428604,0.9575345138753152,[0.25772607 0.11994728 0.12137748 0.         0.         0.50094914],0.002149440470337868
0.08076449,100,1.428726,1.0841155664161939,[0.16994646 0.         0.         0.32820576 0.3297344  0.17211334],0.002850275551527739
-0.32565674,100,1.4288,0.7220530206747737,[0.13981475 0.18980499 0.19085622 0.18993227 0.190137   0.09945476],0.0018410102233290676
-0.14785345,100,1.428847,0.8625575292474166,[0.29987556 0.07960119 0.08009747 0.08000517 0.31015778 0.15026283],0.0012572679959237574
-0.11557423,100,1.428915,0.8908544223997921,[0.1619767  0.15073837 0.30877665 0.22797622 0.         0.15053207],0.0014427492134273052
-0.14129774,100,1.42896,0.8682307757676326,[0.20930266 0.06840377 0.13938369 0.2888015  0.         0.2941084 ],0.001753231610637158
0.096979834,100,1.429003,1.1018381763201275,[0.22077653 0.11864139 0.17936505 0.05951867 0.17926288 0.24243546],0.001650154824182391
-0.14006698,100,1.429047,0.8692999983474076,[0.33824214 0.2192119  0.10943128 0.10951085 0.         0.22360381],0.0010719656668603421
-0.21373518,100,2.58578,0.8075621950069634,[0.22031324 0.06968695 0.28933334 0.14032488 0.21073927 0.06960233],0.0012545409113168715
-0.21625498,100,2.585905,0.8055298907503249,[-0.02001709  0.17965373  0.24047545  0.18109985  0.17898127  0.23980679],0.0035937069922685624
-0.20678642,100,2.585994,0.8131933134833746,[0.27712095 0.27121842 0.17898884 0.09037816 0.18229364 0.        ],0.0017296389468014245
-0.29077908,100,2.586056,0.7476808326902074,[0.16100289 0.24877006 0.17115825 0.         0.17051439 0.24855442],0.0015953703783452516
-0.1614118,100,2.586149,0.8509416168987506,[-0.00986591  0.20285225  0.          0.27159768  0.26742005  0.26799592],0.0013537612810730936
-0.057436567,100,2.586195,0.9441817564461271,[0.22070043 0.18265085 0.17779869 0.23893502 0.         0.179915  ],0.002699999962747097
-0.07584113,100,2.586242,0.9269634435310302,[0.         0.19831286 0.40085903 0.20129438 0.         0.19953373],0.0030052580088377003
-0.12491177,100,2.586302,0.8825747747426073,[0.10064565 0.29870537 0.         0.20070703 0.         0.39994195],0.0030000000000000005
-0.2070502,100,3.742222,0.8129788305414054,[0.22447804 0.28137964 0.21416701 0.20915066 0.         0.07082465],0.0018
-0.14426246,100,3.742345,0.8656605048259858,[0.25948778 0.         0.         0.2505524  0.12068875 0.36927107],0.001960461363196373
-0.19704112,100,3.742443,0.8211569012875376,[0.19916761 0.09997991 0.19788794 0.29959616 0.10181635 0.10155202],0.0012104575037956236
-0.22515549,100,3.742491,0.7983920803813231,[0.13844152 0.28650942 0.         0.13765699 0.298897   0.13849509],0.002395223761163652
-0.13495253,100,3.742539,0.8737573960941115,[0.48417312 0.17145    0.         0.17502153 0.         0.16935533],0.0032774502225220202
-0.15509303,100,3.742594,0.8563355108018441,[0.23104067 0.1407149  0.20968649 0.         0.2085594  0.20999856],0.001249670079350471
-0.14910029,100,3.742639,0.8614827215314812,[0.45255402 0.32678056 0.2206654  0.         0.         0.        ],0.00219893392175436
-0.2798143,100,3.742681,0.7559240841620144,[0.24823993 0.         0.17055793 0.         0.25047734 0.3307248 ],0.003583568725734949
-0.14885356,100,4.898799,0.8616952989205742,[0.11884088 0.10968329 0.21990563 0.         0.33089358 0.22067663],0.0019623205676674842
-0.074856386,100,4.89892,0.9278767548227389,[0.22020888 0.28882912 0.21301736 0.         0.20863816 0.06930648],0.0016408731430768964
-0.32027453,100,4.899003,0.725949698268034,[-0.00974814  0.2786726   0.2790265   0.          0.199111    0.25293803],0.001122952775284648
0.034496367,100,4.899059,1.0350982619687816,[0.19888996 0.10985621 0.21070494 0.1609129  0.15986504 0.15977095],0.0017054375648498535
-0.16499776,100,4.899122,0.8478956056740897,[0.3720019  0.1787227  0.1811741  0.17869474 0.         0.08940657],0.0017438143268227579
-0.041399,100,4.899167,0.9594462248950112,[0.25928363 0.3309362  0.07945963 0.07957119 0.08054496 0.17020439],0.002850317019782961
-0.135657,100,4.899218,0.8731420681773312,[0.14048164 0.12922023 0.19999231 0.1303267  0.26992023 0.13005887],0.0013477685973048215
-0.3608717,100,4.899262,0.6970684651692975,[0.19080766 0.18262742 0.0897532  0.         0.35792363 0.17888808],0.002888385297358036
-0.12040733,100,6.066964,0.8865592559502701,[0.44917834 0.         0.21977113 0.11055575 0.10992194 0.11057282],0.0026524501577019693
-0.26819563,100,6.067084,0.7647581047350988,[0.         0.         0.24919775 0.7508022  0.         0.        ],0.003843494234606624
-0.17207326,100,6.067168,0.8419174221475331,[0.23407367 0.30817378 0.08115134 0.         0.14887916 0.22772206],0.0019474938422441481
-0.1649331,100,6.06723,0.847950418045622,[0.01008556 0.         0.         0.10872777 0.44316226 0.4380244 ],0.0031541978277266026
-0.18218747,100,6.067295,0.833445040104433,[0.30127725 0.19656645 0.29919237 0.10211229 0.10085165 0.        ],0.0011571912690997125
-0.21972057,100,6.06734,0.8027430364161069,[0.25819188 0.06979937 0.07001157 0.20149049 0.26977304 0.13073365],0.0010958994306623931
-0.11184956,100,6.067386,0.8941787453438751,[0.34018812 0.         0.33343697 0.32637492 0.         0.        ],0.002710392065346241
-0.42101938,100,6.06743,0.6563773391940692,[0.26170748 0.         0.06932196 0.26965055 0.12831031 0.27100965],0.0018105135448276992
-0.2134507,100,7.223863,0.8077919964264416,[0.01001381 0.08925665 0.2726306  0.269181   0.17635216 0.18256578],0.0022499999627470972
-0.23826535,100,7.223989,0.7879935613987865,[0.00988148 0.32774574 0.17027532 0.33175454 0.07967732 0.08066563],0.0029134477391839025
-0.13641308,100,7.224059,0.8724821451680702,[0.12911335 0.5022267  0.         0.36865994 0.         0.        ],0.0024950754456222056
-0.089016244,100,7.224126,0.9148307058309807,[0.100206   0.10009991 0.29973993 0.19994846 0.         0.30000567],0.0018076039254665377
-0.09958108,100,7.224174,0.9052165299818665,[0.01004135 0.         0.22133839 0.21925992 0.44189182 0.10746853],0.001496495693922043
0.027005963,100,7.22422,1.0273739242685955,[0.1394582  0.24887843 0.12047856 0.11966328 0.37152153 0.        ],0.001553142535313964
-0.13727583,100,7.224263,0.8717297409936172,[0.05930861 0.21899068 0.22084989 0.11032522 0.17001991 0.22050567],0.0007934237737208605
-0.06925351,100,7.224307,0.9330900820539505,[0.10057754 0.19882724 0.20150995 0.20034008 0.         0.2987452 ],0.0010044515915215014
-0.13816549,100,8.380186,0.8709545503348265,[0.14872408 0.13970582 0.         0.42741075 0.14138514 0.14277421],0.001395043119043112
-0.0064431014,100,8.380307,0.9935776016280647,[0.22010392 0.06933273 0.21098945 0.2886504  0.1399975  0.07092601],0.0009498174145817757
-0.20262368,100,8.380395,0.8165854956469916,[0.08049393 0.3096006  0.31302822 0.15006998 0.14680727 0.        ],0.0027
-0.1118051,100,8.380446,0.8942185217612617,[0.0101656  0.32850695 0.         0.33102903 0.25018063 0.08011779],0.0028955297723412517
-0.2956206,100,8.380516,0.7440697124570612,[0.00999224 0.10904077 0.44713682 0.         0.43383017 0.        ],0.0044
-0.20577605,100,8.380562,0.8140153551051179,[0.27713874 0.36456716 0.09005629 0.         0.         0.26823783],0.0023490768663585186
-0.26203692,100,8.380605,0.7694826423314229,[0.26898685 0.27112946 0.1999016  0.13066033 0.         0.12932177],0.0015239675238728524
-0.25070146,100,8.380648,0.7782546890135802,[0.01012099 0.17989905 0.17272517 0.27155882 0.09073915 0.27495682],0.001481593741476536
-0.06094113,100,9.538178,0.9408786411955993,[0.         0.10025607 0.         0.3988447  0.30006865 0.20083056],0.0016620605252683164
