#{"t_start": 1696284729.371145, "env_id": "None"}
r,l,t,rendimiento,rentabilidadMedia,aciertos,errores,aciertosplus
-0.18309344,5619,51.561853,0.3623704593034044,-0.3517986611089211,764.0,649.0,13.0
0.95162064,5619,99.698944,0.8731780332572747,0.060190287175944546,795.0,619.0,23.0
1.886373,5619,149.546672,2.1291776480605566,0.5254594710453472,909.0,685.0,23.0
-0.13899009,5619,197.539715,0.43223689989560304,-0.29973540696913914,861.0,661.0,14.0
1.8924698,5619,247.094025,1.3773921169726995,0.32214688283474097,775.0,642.0,34.0
1.2642244,5619,295.575144,1.1445604222809815,0.2108115877818343,736.0,588.0,23.0
0.569964,5619,345.085394,0.6565866056863154,-0.06352269967620311,757.0,580.0,18.0
2.5989728,5619,393.77433,3.1785559383862623,0.7499352438711067,781.0,576.0,28.0
2.6124778,5619,443.253276,3.4057140405726694,0.7546547824978875,727.0,555.0,29.0
1.6300341,5619,491.207373,1.7197443195511586,0.4058973436928042,686.0,533.0,20.0
2.9497423,5619,539.937322,4.331384748620831,0.8846331928269004,770.0,561.0,32.0
3.169729,5619,587.913768,7.056775171714772,1.11753477624356,788.0,523.0,24.0
3.529979,5619,635.187291,9.496479336349939,1.254914415721083,817.0,541.0,30.0
3.5650203,5619,679.211386,9.413471665251654,1.2637872296231074,833.0,570.0,26.0
2.9424672,5619,728.027896,4.84169100780639,0.9288507084315887,737.0,503.0,28.0
3.8114336,5619,769.228508,10.269391546089583,1.306915569419903,779.0,510.0,30.0
4.7674985,5619,811.721368,25.83326053130133,1.7727915557025407,776.0,502.0,31.0
5.32903,5619,855.27966,35.60415100957901,1.939564232382465,769.0,544.0,39.0
5.0382547,5619,898.988247,29.381979171876655,1.8610563539759113,814.0,554.0,37.0
5.4004087,5619,940.384127,40.112798334738,1.9956423319789052,763.0,522.0,39.0
6.591603,5619,981.781419,92.01804562260253,2.423249403038139,851.0,523.0,46.0
5.569103,5619,1022.861754,51.37765708467217,2.1161919948500247,847.0,526.0,35.0
6.7636957,5619,1060.838397,128.53010309671515,2.5849418899085785,726.0,482.0,42.0
6.674291,5619,1100.498477,101.54356273765866,2.4660438692202424,659.0,427.0,46.0
6.0670753,5619,1135.55641,79.77183085822064,2.3328940151048125,676.0,446.0,37.0
6.1087294,5619,1170.384225,52.31681827045139,2.1517986672141487,644.0,428.0,48.0
5.794231,5619,1205.474571,36.50068659970688,1.9708135686423067,637.0,475.0,51.0
