#{"t_start": 1697837475.7853057, "env_id": "None"}
r,l,t,rendimiento,porfolio,comision
-0.20573881,100,3.869368,0.8140456603144177,[0.3821868  0.24650276 0.37131044 0.        ],0.0019961611926555636
-0.16388597,100,3.869491,0.8488388114629294,[0.15043089 0.30764294 0.31233677 0.22958939],0.0027
-0.17674088,100,3.869577,0.8379968914925318,[0.01007235 0.36750466 0.37102008 0.25140294],0.00125
-0.18660428,100,3.869623,0.8297719953546043,[0.28 0.43 0.   0.29],0.0021500000745058065
-0.35978702,100,3.869664,0.6978249022927917,[0.19 0.36 0.36 0.09],0.002479946899414062
-0.26297984,100,3.869703,0.768757372256988,[0.3011972  0.29736382 0.30171064 0.09972833],0.002401876330375671
-0.22318967,100,3.869742,0.7999631256799131,[0.66751605 0.33248395 0.         0.        ],0.0016499999999999998
-0.21226917,100,3.86978,0.8087469731789211,[0.19937491 0.19978116 0.30123946 0.29960448],0.003
-0.09576379,100,6.79815,0.9086786310125718,[0.4286614  0.2927654  0.13938804 0.13918516],0.001515808707475662
-0.13681255,100,6.798279,0.8721337095756763,[0.67 0.   0.33 0.  ],0.0014628503471612931
-0.23819925,100,6.798342,0.7880456654779592,[0.45 0.33 0.22 0.  ],0.0021096982717514036
-0.1971465,100,6.798392,0.8210703381937773,[0.34199852 0.         0.3300417  0.32795978],0.0010600569747388363
-0.4255849,100,6.79844,0.6533875366569528,[0.32290244 0.16926953 0.33424157 0.17358644],0.0014103416167199612
-0.14490137,100,6.798487,0.865107600220675,[0.01 0.37 0.12 0.5 ],0.000650000074505806
-0.44252315,100,6.798529,0.6424135056189845,[0.01 0.12 0.5  0.37],0.001800921931862831
-0.14840364,100,6.798568,0.8620830514293389,[0.20746723 0.29309714 0.28937656 0.21005906],0.0007622174263000488
-0.009656875,100,9.735641,0.9903896055819668,[0.33258772 0.24621978 0.24723619 0.1739563 ],0.002749835252761841
-0.17799982,100,9.73579,0.8369425086572171,[0.40201664 0.29788956 0.20082472 0.09926909],0.001011705253273249
-0.22288881,100,9.73585,0.8002038114195342,[0.6638439  0.16620685 0.         0.16994922],0.0033000000000000004
-0.23138523,100,9.735898,0.7934337638208514,[0.8 0.  0.2 0. ],0.0021176905147731306
