#{"t_start": 1697839845.871554, "env_id": "None"}
r,l,t,rendimiento,porfolio,comision
0.065788195,100,1.103632,1.068000502973592,[0.29507375 0.09908513 0.19908509 0.40675604],0.0028241525068879126
-0.10030024,100,1.103756,0.9045657686419765,[0.         0.60154516 0.1995756  0.19887926],0.004
-0.102441356,100,1.103853,0.9026311067638014,[0.15128213 0.22956032 0.31070235 0.3084552 ],0.0010026576787233352
-0.35724634,100,1.103907,0.6996000509129325,[0.19258054 0.3575788  0.2736671  0.17617357],0.0022999999254941944
-0.18028173,100,1.103954,0.8350349349010201,[0.         0.40014577 0.19836485 0.40148938],0.0021428137570619586
-0.17342794,100,1.103997,0.8407776950071255,[0.50053746 0.         0.         0.49946254],0.0034898635372519493
-0.15205593,100,1.104038,0.8589402595040286,[0.28893802 0.14216667 0.42967957 0.13921572],0.00234832671135664
-0.1653418,100,1.104078,0.847603944956996,[1. 0. 0. 0.],0.002146393023431301
-0.15389246,100,2.074322,0.8573642184453255,[0.43250299 0.1419495  0.1315003  0.29404724],0.001308475399017334
-0.12799339,100,2.074425,0.8798592238199173,[0.         0.67270035 0.32729968 0.        ],0.0031361297704279424
-0.3430538,100,2.074503,0.7096000242688852,[0.2004362  0.         0.         0.79956377],0.0027461534328758717
-0.25536782,100,2.074548,0.774631546843284,[0.17152795 0.333966   0.2462513  0.24825476],0.002197851510345936
-0.13044861,100,2.074589,0.8777016053690276,[0.28592864 0.09045428 0.27076977 0.3528473 ],0.001350000037252903
-0.24828455,100,2.074629,0.7801379455779023,[1. 0. 0. 0.],0.0035610955581068995
-0.24976341,100,2.074668,0.778985057772471,[-0.0098391   0.289788    0.4312545   0.28879657],0.0019060270965099335
-0.21039858,100,2.074708,0.8102612144466209,[0.         0.42199934 0.57800066 0.        ],0.00375102698802948
-0.04604573,100,3.024812,0.9549982986750186,[0.3976859  0.29760507 0.204865   0.09984404],0.0025000000000000005
-0.095331594,100,3.024935,0.9090714274806966,[0.19947073 0.         0.40190762 0.39862165],0.0007557800859212875
-0.37841693,100,3.025031,0.6849448319497979,[0.24911596 0.         0.75088406 0.        ],0.00375
-0.18407097,100,3.02509,0.831876783463324,[0.         0.14086248 0.42957598 0.42956153],0.0025025031745433807
-0.11752835,100,3.02514,0.8891153124055954,[0.37057474 0.3620073  0.         0.26741797],0.0016441969759762288
-0.03773261,100,3.025182,0.9629703882363525,[0.29830495 0.39954835 0.10040951 0.20173721],0.0007527648024260999
-0.21235788,100,3.025223,0.8086752349737464,[0.39860928 0.         0.6013907  0.        ],0.001999999962747097
-0.24835986,100,3.025263,0.7800791804648355,[0.         0.67227226 0.         0.32772774],0.001504838652908802
0.009480074,100,3.970972,1.0095251588269196,[0.00998019 0.3622999  0.12181964 0.50590026],0.0018627579271793366
-0.21163692,100,3.97109,0.8092584517984843,[0.22784467 0.32903025 0.22336595 0.21975914],0.0011295632828958334
-0.2628051,100,3.971181,0.768891713246695,[0.1929684  0.08961385 0.35705256 0.36036518],0.0027499999254941942
-0.20597385,100,3.971224,0.8138543602103127,[0.11918662 0.33054212 0.3333292  0.21694204],0.0005618375460617245
-0.15047897,100,3.971266,0.860295803433947,[0.33132964 0.16926757 0.16735806 0.33204472],0.0016499999627470968
-0.12350117,100,3.971305,0.8838206068685187,[0.2602891  0.0804624  0.32834312 0.33090538],0.0012027529530227183
-0.22707215,100,3.971343,0.796863270528287,[0.3103424  0.31113386 0.1496679  0.22885583],0.001196625442057848
-0.07693974,100,3.971382,0.9259456379522432,[0.01013147 0.12148917 0.4971962  0.37118316],0.0005541480414569378
-0.13810967,100,4.915614,0.8710031809135215,[0.6032734  0.19752009 0.19920653 0.        ],0.003304367527365685
-0.11335751,100,4.915717,0.8928314215405947,[0.         0.         0.59865856 0.4013414 ],0.003
-0.20687005,100,4.915794,0.8131253240584011,[-0.00994959  0.42699745  0.29344976  0.28950235],0.002899004338681698
-0.2868114,100,4.915838,0.7506532733832662,[0.21066898 0.28684297 0.21039368 0.29209438],0.0014588024511933328
-0.1819827,100,4.915881,0.8336157848234684,[0.25320277 0.24881779 0.16556777 0.33241168],0.002900000074505806
-0.23625892,100,4.91593,0.7895761665473533,[0.         0.2998906  0.40093026 0.29917914],0.0016506736390292643
-0.16356629,100,4.915978,0.8491102472585659,[0.4996064  0.50039357 0.         0.        ],0.0031510467431508007
-0.07360367,100,4.916021,0.9290398288029857,[0.09928316 0.40229243 0.10001875 0.39840567],0.0007066160961985589
-0.100931786,100,5.861873,0.9039947038042795,[0.36939904 0.         0.26640928 0.36419168],0.001952789404988289
-0.19978803,100,5.861991,0.8189043261324075,[0. 0. 0. 1.],0.00281526492908597
-0.29170406,100,5.862071,0.7469896396898178,[0.30400556 0.09904467 0.3957299  0.20121986],0.0018158869110047814
0.007352715,100,5.862128,1.0073798120933872,[0.45243052 0.11065203 0.216673   0.22024444],0.0004930595800280571
-0.17307065,100,5.862198,0.8410781876019411,[0.29229414 0.         0.13952449 0.5681814 ],0.0021511146381497383
-0.3011364,100,5.86224,0.7399768111590888,[0.40314186 0.         0.39843464 0.19842352],0.0015555676817893983
-0.16257718,100,5.86228,0.8499504567672177,[0.11925178 0.43837905 0.44236916 0.        ],0.0021536062896251678
-0.07170218,100,5.86232,0.9308080666231224,[0.49886924 0.331269   0.         0.16986178],0.0016519309297204018
-0.21010154,100,6.816153,0.8105019683787493,[0.         0.4946215  0.         0.50537854],0.0033752259612083437
-0.1812767,100,6.816278,0.8342045036160394,[0.33081144 0.         0.         0.66918856],0.0016953015983104708
-0.07086408,100,6.816349,0.9315885010851105,[0.119284   0.44142437 0.         0.43929163],0.0018957975000143052
-0.20664929,100,6.816394,0.813304808675046,[0.15272306 0.3101569  0.30605426 0.23106577],0.0005974742166697978
-0.11347532,100,6.816437,0.8927262378404616,[0.09837347 0.405787   0.39481193 0.10102762],0.0020068599432706835
-0.10668069,100,6.816479,0.8988126164295024,[0.1277171 0.        0.5119429 0.36034  ],0.0025
-0.13851832,100,6.816519,0.870647287440676,[0.15657192 0.16933544 0.5040138  0.17007884],0.0024895639267750085
-0.09741487,100,6.816559,0.9071796007693502,[0.00995361 0.4428437  0.33012143 0.2170813 ],0.0020680620916187767
-0.23245825,100,7.766375,0.792582860833983,[0.09823264 0.4016073  0.19672757 0.3034325 ],0.0017912012338638305
-0.2021822,100,7.766493,0.816946031146047,[0.42616278 0.14393035 0.42990687 0.        ],0.004300000074505806
-0.24376643,100,7.766561,0.7836706345606697,[0.14279884 0.28827077 0.42978036 0.13915002],0.00214821503162384
-0.2494544,100,7.766618,0.7792258225958396,[0.         0.20161612 0.40006533 0.39831856],0.0008815191155299544
-0.26348007,100,7.766675,0.7683729648069952,[0.33753255 0.24376546 0.16790722 0.25079477],0.0015598224386572837
-0.30340225,100,7.766716,0.7383020685401342,[0.         0.         0.573825   0.42617503],0.003759481571614742
