#{"t_start": 1697833526.015691, "env_id": "None"}
r,l,t,rendimiento,porfolio,comision
-0.18143246,100,1.10722,0.834074586530517,[0.09762434 0.4019341  0.29963416 0.20080742],0.0013940043076872827
-0.07514818,100,1.107337,0.9276060461980247,[0.19950897 0.         0.80049103 0.        ],0.0034480682350695136
-0.1286337,100,1.107414,0.8792960130223175,[0.3772387  0.25041592 0.2513865  0.12095889],0.0024478838831186295
-0.21303853,100,1.107467,0.808125026044375,[0.00958948 0.3791159  0.1169256  0.49436903],0.0024970347009599207
-0.2577187,100,1.107508,0.7728126162945098,[0.37813762 0.12024416 0.         0.5016182 ],0.003099999962747097
-0.22876523,100,1.107549,0.7955152579233327,[0.3758671  0.         0.24894689 0.37518603],0.002609152488876134
-0.0846775,100,1.107589,0.9188085478486973,[0.20033275 0.1994425  0.40253612 0.19768861],0.002
-0.14791909,100,1.107627,0.8625008603579882,[0.12852544 0.49958488 0.         0.37188968],0.0032499794051051144
-0.18902026,100,2.051204,0.82776972356104,[0.32811877 0.5059006  0.         0.16598064],0.001415119217336178
-0.16059104,100,2.051325,0.8516402734281663,[0.4008095  0.19998425 0.         0.39920625],0.001310925677418709
-0.21247502,100,2.051407,0.8085805241894685,[0.         0.7996057  0.20039427 0.        ],0.004001009501516819
-0.16639784,100,2.051452,0.8467093373728728,[0.1302074  0.12057852 0.4989168  0.25029725],0.0021056129038333894
-0.14368239,100,2.051494,0.8661627999705915,[0.         0.24967533 0.75032467 0.        ],0.00375
-0.3391845,100,2.051533,0.7123510368810484,[0.49123418 0.5087658  0.         0.        ],0.0033304944634437563
-0.39377058,100,2.051574,0.674508804888905,[0.80083567 0.         0.19916436 0.        ],0.0029861398041248323
-0.20064144,100,2.051613,0.818205767829227,[0.34008658 0.21877143 0.2204219  0.22072011],0.0008058804154396057
-0.20629936,100,2.990706,0.8135894779316083,[0.         0.5016086  0.25050923 0.24788217],0.002755630351603031
-0.119557366,100,2.990824,0.8873131103375554,[0.3701764  0.1791297  0.18088052 0.2698134 ],0.0008970058113336563
-0.018221866,100,2.990891,0.9819430933074406,[0.2788595  0.18584539 0.3522734  0.18302172],0.0020454031571745875
