#{"t_start": 1696368358.317935, "env_id": "None"}
r,l,t,rendimiento,rentabilidadMedia,aciertos,errores,aciertosplus
-8.2673505e-06,1000,30.56609,0.7853027219210461,-0.09447031200330663,120.0,111.0,6.0
0.24067627,1000,42.887075,1.0707952024978666,0.06281584912256849,134.0,111.0,3.0
0.14429238,1000,55.29903,1.0936660319695741,0.056836419973595786,134.0,99.0,1.0
0.06601026,1000,67.908876,0.9318318599485668,-0.011920009243972851,134.0,108.0,2.0
-0.10402916,1000,80.967994,0.8041437673801662,-0.08445895281152399,131.0,111.0,2.0
0.10649997,1000,92.966845,1.018604000099034,0.024523810543910396,133.0,98.0,1.0
0.26122648,1000,105.797624,1.132286298170647,0.08897148796253951,125.0,82.0,2.0
-0.3093749,1000,117.28651,0.7044597688896023,-0.1546874346401776,108.0,108.0,0.0
0.5602276,1000,129.664781,1.4199323192558824,0.2006292115388416,119.0,88.0,4.0
0.3170139,1000,143.09876,1.0114796243646915,0.03534100425218534,101.0,92.0,7.0
0.6058598,1000,156.961619,1.0662800981457832,0.07043452567776592,100.0,87.0,12.0
0.3240728,1000,170.009869,1.11245326973081,0.08157904190674647,110.0,80.0,3.0
0.2457598,1000,181.616109,1.0339739805366392,0.043339484276867235,116.0,78.0,5.0
-0.38833383,1000,193.319896,0.6053889362106518,-0.2287224044508832,89.0,99.0,2.0
0.26140535,1000,207.80901,0.894935860892928,-0.018483850753991338,95.0,90.0,8.0
0.19635347,1000,219.29224,0.8495551199574412,-0.04679881127443031,86.0,88.0,8.0
0.16650122,1000,232.328035,0.9451012167366039,-0.006087148066922565,95.0,89.0,6.0
-0.4095872,1000,243.403608,0.6011758883715124,-0.22648607136951554,95.0,88.0,1.0
0.28034878,1000,256.630967,1.049776960154191,0.05033140906079109,107.0,85.0,6.0
0.3289544,1000,268.014862,1.2395739854314622,0.1301805850700904,110.0,70.0,2.0
0.52207065,1000,281.580637,1.2200388875926564,0.14216797625465616,114.0,73.0,5.0
0.19583645,1000,292.738897,0.9611412430430878,0.0008574213837979072,110.0,99.0,6.0
0.07552859,1000,305.582238,0.9244874507814517,-0.015900895996766973,115.0,83.0,3.0
0.10883113,1000,317.162451,0.8907939871627005,-0.025303619212570294,87.0,70.0,4.0
-0.08898647,1000,330.809166,0.7433824103816639,-0.12064288456938521,103.0,88.0,4.0
-0.31466994,1000,342.927134,0.590638067821481,-0.22611872278548895,76.0,80.0,4.0
0.5134382,1000,356.093179,1.4267363065966354,0.19849234258273707,101.0,71.0,3.0
0.020079598,1000,368.330675,0.8659334954255681,-0.056772537682814206,80.0,74.0,4.0
-0.104027875,1000,381.256876,0.7564945360821167,-0.10727009828217404,116.0,89.0,3.0
0.30688268,1000,393.35921,1.2054327997036034,0.11569651075649551,119.0,76.0,2.0
0.31393024,1000,405.488691,1.023783634686432,0.03992270342690335,116.0,99.0,7.0
0.15965882,1000,418.872979,0.8068578577164032,-0.0776705699087068,121.0,112.0,10.0
0.16893901,1000,431.336986,0.9616680369552778,0.0035811203815022674,126.0,94.0,5.0
0.29533607,1000,442.653456,0.9923234843382994,0.02848444404336714,122.0,94.0,6.0
-0.2446096,1000,454.486415,0.625344766243084,-0.20452910029730126,63.0,73.0,3.0
-0.12126923,1000,465.545455,0.694318173094411,-0.15376321900993883,126.0,100.0,6.0
-0.26606947,1000,478.114139,0.6438777525698112,-0.1998683695201004,105.0,97.0,4.0
0.4408762,1000,491.991221,1.21065847061876,0.12357978767862288,138.0,98.0,6.0
0.7034267,1000,504.695994,1.5051641807270266,0.23305502351947877,123.0,87.0,7.0
0.31372562,1000,516.712072,1.1207457882614575,0.07737956576928184,112.0,88.0,5.0
0.34881386,1000,529.672634,1.212320347592118,0.11623010483424973,105.0,90.0,3.0
0.507686,1000,542.719892,1.1589939395525388,0.0980128035670354,88.0,82.0,9.0
0.2898274,1000,551.123744,1.1610205785552605,0.09395574964751158,107.0,81.0,3.0
0.21943614,1000,564.822255,0.949103105310965,-0.0038596200337593367,104.0,90.0,6.0
0.41542253,1000,576.326027,1.262237595207377,0.13722686056897054,103.0,78.0,4.0
0.71736634,1000,588.295895,1.581020085804765,0.25181909301764027,99.0,67.0,7.0
-0.0123665575,1000,601.240012,0.8584497482340275,-0.05721464806654325,98.0,91.0,2.0
0.6680896,1000,614.160383,1.5879724022203707,0.24843172564701088,101.0,69.0,4.0
0.5367296,1000,625.591374,1.2978133749187315,0.15298335019592324,93.0,79.0,6.0
0.5931411,1000,638.395271,1.5128234206878375,0.22555903828333962,93.0,72.0,4.0
0.20581082,1000,651.688251,1.0291654590354622,0.03571370487829467,92.0,78.0,4.0
0.27056536,1000,664.63766,1.1269234888367203,0.08066601910449456,100.0,80.0,3.0
0.45158008,1000,677.028584,1.1970280581106016,0.11324393450843773,116.0,79.0,7.0
1.171178,1000,689.754469,1.4409210549769014,0.24464507364080718,45.0,48.0,14.0
0.29709193,1000,702.762169,1.0146915135242651,0.0321648489862687,103.0,84.0,7.0
0.814679,1000,715.370236,1.3033420326949248,0.18215718953872068,62.0,56.0,9.0
0.099997774,1000,728.935749,0.9495063380856918,-0.004577964652815292,107.0,91.0,3.0
0.56248116,1000,740.671381,1.4164196950162198,0.1981695464470446,89.0,59.0,4.0
0.3867466,1000,754.99681,1.106115198060904,0.07699091438134176,105.0,88.0,6.0
0.22402276,1000,767.095996,0.9585558944800817,0.004229711079673737,115.0,102.0,7.0
0.35056022,1000,780.052791,1.0374060629093,0.052549396645397595,115.0,101.0,7.0
0.8035416,1000,791.756358,1.7189576855786504,0.29636953945638095,127.0,91.0,5.0
0.5229598,1000,803.318913,1.4120744931073754,0.18698184045563343,75.0,62.0,5.0
0.44117367,1000,815.382255,1.334047627951172,0.15762367625053642,94.0,63.0,4.0
0.10479128,1000,827.520583,0.8257827858487344,-0.06371621669970473,73.0,68.0,6.0
0.23262541,1000,840.069349,1.0305397923823696,0.04092075317907534,105.0,84.0,5.0
-0.10466362,1000,853.109554,0.87956711059855,-0.0523317943199032,117.0,111.0,0.0
0.9682383,1000,866.10906,1.784041604474608,0.32204868220275273,101.0,67.0,8.0
0.45252648,1000,877.252502,1.2053575153671539,0.11712444874926753,94.0,75.0,6.0
0.41149008,1000,890.546264,1.2518770094535399,0.13145392949027557,97.0,99.0,4.0
1.4694895,1000,902.544217,2.714942261345036,0.5287909825620778,92.0,57.0,11.0
0.3945145,1000,914.930827,1.0001120502888923,0.03807870457142626,84.0,73.0,8.0
0.61814034,1000,926.249513,1.4829156227118694,0.21685349225401346,80.0,54.0,4.0
1.2436603,1000,938.452782,2.2412329865518097,0.439720292456497,119.0,72.0,9.0
0.6889451,1000,949.786633,1.54035455761488,0.2433695622084488,137.0,89.0,4.0
0.46457934,1000,962.470618,0.9890130893188218,0.0333335439294849,86.0,82.0,11.0
1.5228064,1000,975.438269,2.759992219680397,0.5418680764203062,122.0,73.0,12.0
1.6095366,1000,988.412297,3.3452743725927494,0.6318600945717108,129.0,65.0,10.0
0.72580665,1000,1001.834188,1.6265657127220403,0.2659851362990879,138.0,105.0,5.0
1.182997,1000,1011.885285,2.3631433628307104,0.45405472567238625,129.0,67.0,8.0
0.6016087,1000,1024.771597,1.424123760800116,0.2001508958355649,154.0,85.0,6.0
1.1783096,1000,1036.044002,2.075272471636538,0.3987705674385904,140.0,86.0,10.0
1.1740177,1000,1048.574867,2.3317558939510117,0.4541521970780003,130.0,75.0,7.0
0.30276227,1000,1060.945716,1.0972883320438378,0.07193281240062332,148.0,97.0,5.0
0.950426,1000,1071.257691,1.8237377368510372,0.3271162925582616,112.0,88.0,8.0
0.8944194,1000,1080.936492,1.6302002157062712,0.27425267128140257,144.0,96.0,10.0
0.3074054,1000,1092.765149,1.0442281407700926,0.04928011797896181,120.0,113.0,5.0
-0.11045858,1000,1104.228487,0.7237690724375374,-0.1306119777561917,120.0,113.0,3.0
0.98882467,1000,1117.491688,1.9580879979264123,0.36083326158127144,125.0,83.0,8.0
0.3403033,1000,1129.513596,1.1503109814861137,0.08988639952490224,119.0,108.0,4.0
0.77683336,1000,1141.762075,1.5552655690924555,0.24955272160211828,137.0,80.0,8.0
1.1660814,1000,1153.166727,2.417358639831247,0.4687473946698755,138.0,88.0,6.0
0.79610324,1000,1165.317103,1.7107446943435407,0.2893836481386143,133.0,85.0,6.0
0.6459286,1000,1175.335937,1.2276458007112128,0.1342391735218354,123.0,101.0,10.0
0.60400707,1000,1186.362216,1.4233185168907907,0.20272652829510202,128.0,99.0,5.0
0.98188025,1000,1196.692211,1.7501361721014685,0.31020133509135217,134.0,85.0,10.0
1.1988649,1000,1209.00142,2.015899780768544,0.3876362759863733,120.0,91.0,10.0
0.8788935,1000,1219.032782,1.6626595774515531,0.2832646821498701,141.0,87.0,9.0
0.9317604,1000,1230.244637,1.6369670404899028,0.28024228330889805,142.0,100.0,11.0
0.94614506,1000,1241.911424,1.645720320231656,0.287220471552447,121.0,82.0,9.0
1.0472231,1000,1251.715072,2.00225808789638,0.3741162292551379,131.0,99.0,8.0
1.2025028,1000,1261.698098,2.1637860258567683,0.4166174661891295,160.0,97.0,10.0
1.0186318,1000,1272.246434,1.660531216710413,0.2983225946412686,136.0,97.0,11.0
0.35167322,1000,1283.971128,1.3416196130995297,0.16153957832768956,146.0,97.0,1.0
0.95149195,1000,1295.194,1.6541035403491837,0.284353429440091,129.0,106.0,10.0
0.7511912,1000,1307.200147,1.7105863236104593,0.29645091774269455,135.0,89.0,3.0
0.9012791,1000,1316.02279,1.7272505944602823,0.3075718847987688,139.0,87.0,8.0
0.5691053,1000,1325.446106,1.3485937270923816,0.17750198755532104,113.0,88.0,5.0
0.6954872,1000,1334.194268,1.3985343552976777,0.19847856357737997,130.0,95.0,7.0
1.069833,1000,1345.449024,2.0220979241144765,0.3812438840858811,144.0,90.0,9.0
0.69574666,1000,1357.497447,1.4766666893774902,0.2243143189081624,123.0,102.0,5.0
0.73366356,1000,1368.893973,1.494496700723858,0.22711241199102483,136.0,92.0,7.0
0.7573781,1000,1377.759974,1.491110499423294,0.2341766100989937,118.0,82.0,7.0
0.98066,1000,1389.453777,2.049962000994003,0.3849676452879549,133.0,78.0,5.0
1.2919123,1000,1399.906296,2.4259116388322584,0.47703421864561024,136.0,74.0,9.0
0.6891258,1000,1410.559666,1.8673662921511898,0.3261634301382374,144.0,85.0,1.0
0.8430967,1000,1419.302165,1.673702587726553,0.28248231316170097,150.0,101.0,7.0
1.3268434,1000,1429.344559,2.671820635662341,0.5186539050513679,154.0,88.0,7.0
0.47368667,1000,1440.848883,1.2621758260366582,0.1406489177603804,141.0,98.0,5.0
0.37210548,1000,1451.684693,1.2402056761409843,0.1254997406248341,124.0,94.0,3.0
0.88713884,1000,1462.361374,1.6981887265434088,0.2891426064286372,132.0,105.0,9.0
1.2540021,1000,1472.163112,2.228042421363264,0.4318309636883901,134.0,105.0,10.0
1.0016855,1000,1482.822257,2.1695703607219428,0.40668529500393896,135.0,81.0,5.0
1.3900856,1000,1493.027316,2.71337116609751,0.5309169016907107,144.0,82.0,8.0
0.86259156,1000,1501.498201,1.689472102861292,0.29112403456713215,136.0,94.0,8.0
0.8600158,1000,1511.058563,1.5410366957006796,0.2531731344555089,140.0,104.0,9.0
0.69868416,1000,1520.892937,1.5112289040041154,0.23313161819079603,126.0,106.0,6.0
1.2162449,1000,1528.495688,2.5228851777317742,0.48206176226398156,134.0,80.0,8.0
0.6642073,1000,1540.36407,1.4285684653996549,0.20982415427332812,122.0,90.0,8.0
0.6694561,1000,1549.17783,1.5756444016786377,0.25084643516959726,119.0,87.0,5.0
0.9748337,1000,1558.324369,2.138352987471617,0.4027114057792232,129.0,83.0,4.0
0.66741264,1000,1566.356274,1.3587323591525546,0.18430259856388376,126.0,102.0,8.0
0.24487849,1000,1576.104266,1.0265420393964289,0.04052589411436558,114.0,84.0,4.0
1.0179545,1000,1586.666843,1.9310358627893556,0.3583520248633802,125.0,89.0,8.0
0.6945535,1000,1596.149968,1.3320126648058528,0.19581794045709588,142.0,109.0,7.0
1.1964519,1000,1606.645496,2.4036111289220563,0.46536156894875536,130.0,82.0,7.0
0.7939461,1000,1615.662106,1.7415628894716453,0.2986126473124351,136.0,96.0,7.0
1.2081398,1000,1624.193938,2.238597347078017,0.43362973980484315,128.0,79.0,9.0
0.4664638,1000,1633.575044,1.4551820040195331,0.20071866275996952,137.0,95.0,2.0
1.4079369,1000,1643.55284,2.7976740225242493,0.5394585782198394,113.0,75.0,9.0
1.0393616,1000,1652.652458,1.9420036691526568,0.3619966363629996,124.0,89.0,9.0
0.663185,1000,1665.709273,1.5925226877561285,0.2521437624282403,121.0,96.0,5.0
1.0191253,1000,1677.049363,1.907035530678175,0.35701784705948014,122.0,89.0,8.0
0.82444865,1000,1688.078651,1.6258346045891652,0.2713833796512649,128.0,99.0,8.0
1.393535,1000,1696.852933,2.7060393894662673,0.5274153594189963,133.0,90.0,8.0
1.1166577,1000,1706.336539,2.153653217817987,0.4105890963289936,129.0,88.0,8.0
1.0647483,1000,1717.180592,2.0358982594979596,0.384501637965244,119.0,78.0,8.0
1.1856409,1000,1727.928932,2.3444701104437877,0.44926289245266826,118.0,85.0,9.0
1.1265398,1000,1737.720543,1.893466025758569,0.3479571986287132,126.0,98.0,13.0
1.0341634,1000,1749.023405,2.1836046492176444,0.41626880285186946,140.0,77.0,6.0
1.1265503,1000,1760.97047,2.2920755432571536,0.4384726723779117,121.0,84.0,7.0
1.1406019,1000,1769.304214,1.8726602224791973,0.34741448285149135,104.0,104.0,12.0
0.53840923,1000,1780.107515,1.5545429707434992,0.23816264628430545,143.0,79.0,2.0
1.1768962,1000,1788.120987,2.16079403296203,0.41396049212151825,136.0,84.0,10.0
1.417824,1000,1800.527198,2.718048889197662,0.5361114044466946,150.0,90.0,8.0
1.5466025,1000,1809.538254,3.024237484425708,0.5835445776825989,123.0,87.0,11.0
1.418928,1000,1818.828761,2.0680502833740997,0.4125535571378591,105.0,95.0,13.0
0.8337665,1000,1827.289303,1.4560927527637721,0.23164907335879448,130.0,88.0,9.0
1.1906599,1000,1836.842824,2.3378857074656447,0.4532637954681582,124.0,85.0,8.0
1.8229213,1000,1845.734825,3.703014796892371,0.6865474905173924,123.0,72.0,12.0
1.1291846,1000,1854.314295,1.9899691368858,0.37637056887216996,121.0,89.0,9.0
1.1441767,1000,1863.179232,2.318421622707497,0.44741371008213365,129.0,74.0,7.0
0.89603835,1000,1873.15391,1.5538671055176096,0.2605764373841675,116.0,90.0,8.0
1.1856703,1000,1883.631942,2.318058148608864,0.4478665146665199,128.0,78.0,7.0
1.5819852,1000,1891.233907,2.884450550242168,0.564874296858687,135.0,76.0,12.0
1.6639076,1000,1902.497684,3.59330435034266,0.6720328510596523,141.0,82.0,8.0
0.5727418,1000,1912.585332,1.5377951659811058,0.2304706241084487,125.0,98.0,4.0
1.3583401,1000,1922.058376,2.236710031436345,0.44481872007255496,125.0,92.0,11.0
0.2458141,1000,1933.732918,1.1154948061891663,0.08088071299793148,124.0,96.0,2.0
0.6230562,1000,1941.624425,1.6876214633691031,0.27688496627573794,132.0,83.0,2.0
1.1456462,1000,1948.671263,2.059278428070723,0.3925521599806968,129.0,86.0,10.0
1.343274,1000,1957.76116,2.5766154122970724,0.5020437371758631,124.0,81.0,9.0
1.4138076,1000,1967.391708,2.783473187335999,0.5393452236767734,132.0,89.0,10.0
1.4573107,1000,1975.715586,2.585408974525799,0.5149077110900638,137.0,80.0,10.0
1.3022863,1000,1984.650588,2.1648950125523405,0.4310245625235958,121.0,78.0,10.0
1.5423278,1000,1994.97388,2.6215695318904877,0.5197450830632935,140.0,86.0,14.0
1.5578148,1000,2005.381821,2.7394673380851393,0.5478393726929544,114.0,77.0,11.0
1.4687607,1000,2014.311793,2.857198485037617,0.5558238977840545,155.0,98.0,10.0
1.5624466,1000,2022.957711,3.1925486091423427,0.6106022571908702,159.0,93.0,9.0
1.0602684,1000,2031.107964,2.1952949790817424,0.418597443669105,158.0,86.0,7.0
1.284662,1000,2041.274919,2.4592701599211093,0.4792588142582764,124.0,89.0,9.0
0.37472713,1000,2050.855536,1.3274735333849437,0.15627609670100306,150.0,115.0,2.0
0.72755396,1000,2060.283401,1.8512160039893453,0.3214200066220823,162.0,87.0,2.0
1.1993335,1000,2070.810375,2.2222152605989085,0.4358941553265992,144.0,92.0,7.0
1.1050814,1000,2079.872439,2.1535240050012265,0.40986699272162724,170.0,92.0,7.0
1.4231633,1000,2089.04257,2.956833136997177,0.5680011696994343,154.0,82.0,8.0
1.3124866,1000,2097.557537,2.055745801796572,0.40928612387935626,136.0,95.0,10.0
1.384707,1000,2106.623586,2.82614191458524,0.5456247066799933,149.0,82.0,9.0
0.68425995,1000,2114.90313,1.79859767793952,0.3079421105950715,172.0,104.0,2.0
0.7906229,1000,2124.615146,1.7134924562156229,0.28897368775727555,162.0,107.0,6.0
1.4017519,1000,2134.906826,2.4925902874561228,0.4892873766308461,127.0,96.0,11.0
0.025015388,1000,2143.63684,0.9363711692883768,-0.02005889235373165,141.0,130.0,2.0
1.1942973,1000,2152.264877,2.3044151380651097,0.4442680165628242,150.0,83.0,7.0
1.1445285,1000,2162.580608,2.1823741631391007,0.41665733707550795,147.0,97.0,8.0
0.9981148,1000,2173.36014,1.5662307924943124,0.2775194845356589,143.0,106.0,9.0
0.924052,1000,2181.947202,1.8374109003279462,0.3348724186344065,164.0,100.0,6.0
1.4265931,1000,2190.510048,2.984366188523043,0.5738553461151819,160.0,84.0,7.0
0.976632,1000,2199.368685,2.0832334789601235,0.3902358880981068,159.0,97.0,5.0
1.5462238,1000,2208.263043,3.251120207415787,0.6179229676376198,150.0,85.0,7.0
0.8337383,1000,2215.697785,1.823299648792128,0.32396923565731095,145.0,102.0,5.0
1.7933681,1000,2225.009313,3.0881871562097696,0.6130587458275158,140.0,96.0,11.0
0.8685539,1000,2233.302781,1.870041090787748,0.3346138624466482,148.0,90.0,5.0
1.0275221,1000,2242.480248,2.035077107173159,0.38419986650949867,142.0,85.0,6.0
0.48030692,1000,2252.211994,1.478262635231044,0.20896345787936854,143.0,108.0,2.0
1.2412764,1000,2261.488016,2.6413980044983005,0.5092539357391057,157.0,89.0,5.0
1.7831193,1000,2270.476229,3.951099103647958,0.7181667001720942,132.0,86.0,9.0
1.3828793,1000,2279.059515,2.6526966513050025,0.5144600745175456,124.0,69.0,10.0
1.3853208,1000,2287.786063,2.5104462971633885,0.4907227958086536,113.0,75.0,13.0
0.7816044,1000,2296.815075,1.7547276166712933,0.2978031339724624,143.0,100.0,6.0
1.3221476,1000,2305.811762,2.157364764460249,0.43424480713075425,114.0,96.0,9.0
0.8025851,1000,2315.494875,1.8708393967199457,0.3305645974278603,141.0,105.0,4.0
0.68747354,1000,2325.04673,1.1976541489619674,0.14449230370177557,107.0,93.0,7.0
1.266771,1000,2334.992711,2.394287266988123,0.46380100813188785,126.0,75.0,9.0
0.908357,1000,2342.573771,1.9481151326699973,0.3600170820405849,149.0,96.0,4.0
1.1873994,1000,2352.162195,2.2528561599734083,0.43611702184169265,141.0,79.0,8.0
0.80545205,1000,2361.634599,1.488391629301042,0.22774840752588327,125.0,93.0,11.0
0.81868416,1000,2370.174411,1.540182812381587,0.26062945356933565,143.0,82.0,5.0
1.5914537,1000,2379.925498,2.965142102207211,0.574567003579177,124.0,90.0,13.0
0.5328611,1000,2390.124499,1.4641354702305016,0.2088481768121096,150.0,98.0,3.0
0.5126425,1000,2400.229099,1.3960809597670263,0.19333919385794202,130.0,95.0,4.0
0.81260943,1000,2410.16334,1.6187959292272824,0.26797118284120175,133.0,107.0,8.0
0.63772696,1000,2418.119514,1.5647182614802873,0.2529359065280211,129.0,95.0,1.0
1.0097353,1000,2430.211921,2.168321405033154,0.4070393673620953,138.0,91.0,6.0
0.7798119,1000,2439.162816,1.6653043036169635,0.27990933075862967,135.0,100.0,5.0
0.7209086,1000,2448.152069,1.6414506185193056,0.2681526636144234,142.0,88.0,5.0
1.2881174,1000,2457.849468,2.8015746074332117,0.536882505940798,145.0,86.0,6.0
0.39081144,1000,2468.254435,1.3130640426771996,0.1531347990278179,126.0,100.0,2.0
1.4196417,1000,2478.158499,2.505164162085237,0.5051043020692938,130.0,86.0,9.0
1.7547116,1000,2486.332484,3.7699572720691026,0.6925179454501247,133.0,75.0,10.0
1.0291196,1000,2495.112175,2.2759860023250194,0.43210698611917037,145.0,98.0,4.0
1.2735947,1000,2504.860243,2.5629226078432907,0.4984218589981172,148.0,92.0,7.0
1.2990539,1000,2513.393861,2.782038459657478,0.5370445381597787,136.0,84.0,5.0
1.0526742,1000,2522.860482,2.0289622093310276,0.3828506142014998,153.0,88.0,8.0
1.2175888,1000,2531.918227,1.9417338135896265,0.38747902840515147,136.0,90.0,7.0
1.3390845,1000,2540.903288,2.786430748296187,0.5378909330462405,132.0,70.0,6.0
1.7833146,1000,2549.941382,2.753426494854221,0.580017331107552,124.0,86.0,10.0
1.246901,1000,2559.273342,2.9574022486909657,0.5591618447294853,146.0,86.0,3.0
0.76514745,1000,2570.771103,1.9046319818314201,0.3393686976844529,147.0,95.0,2.0
1.0644089,1000,2579.214686,2.0659227943523812,0.386484104254777,132.0,105.0,8.0
1.206851,1000,2588.547503,2.406218519149717,0.47889246218082965,150.0,95.0,4.0
0.73251796,1000,2596.950921,1.9627029727934764,0.35084218081938073,158.0,96.0,1.0
1.3575982,1000,2605.581431,2.771363072630021,0.5367209775087178,159.0,98.0,7.0
1.4264024,1000,2613.924843,2.910361636553958,0.5607505455809046,135.0,73.0,7.0
1.6918025,1000,2623.722945,2.8261766104016743,0.5770883513708147,113.0,72.0,9.0
2.3846807,1000,2632.851146,4.574850598243944,0.8347235404808342,140.0,80.0,12.0
0.7188585,1000,2642.332474,1.8624042149743618,0.3246043243803241,124.0,78.0,2.0
1.3241462,1000,2651.639839,2.420583180697916,0.47408175399722113,131.0,82.0,10.0
0.8911203,1000,2660.550287,1.8375512046252103,0.33446801594058556,153.0,88.0,5.0
1.7875853,1000,2668.589375,3.0336973121490587,0.62356971673604,134.0,82.0,8.0
1.5470722,1000,2677.543571,2.682864721346589,0.5328560269222566,133.0,82.0,11.0
1.409037,1000,2687.58492,2.9064121737617072,0.5628062118793389,148.0,79.0,7.0
1.6705991,1000,2696.828461,3.5485648597126325,0.6597113290509471,146.0,86.0,10.0
1.62421,1000,2706.181771,3.1028733259366836,0.5987411869594763,139.0,87.0,11.0
1.1903261,1000,2715.054973,2.1537912032873487,0.41453373500361984,127.0,74.0,8.0
1.6513199,1000,2723.092318,3.265120072402573,0.6186541275001235,139.0,88.0,12.0
1.4587868,1000,2731.053012,2.74487685830445,0.5393924343874078,137.0,77.0,9.0
1.4005624,1000,2739.606482,2.3157744563154665,0.45869930517688606,124.0,73.0,11.0
1.5454371,1000,2748.345539,2.830775379375707,0.5498225868648156,137.0,91.0,12.0
1.1786613,1000,2757.382305,2.203898670403656,0.42075204341775224,123.0,78.0,9.0
1.3027586,1000,2766.414649,2.4834950475886988,0.4847809146513859,147.0,92.0,7.0
1.5676278,1000,2775.01583,3.2575475997225434,0.6165179798084037,129.0,72.0,10.0
1.8597764,1000,2783.633349,4.02654366210061,0.7286311623775141,137.0,83.0,10.0
1.333349,1000,2792.838265,2.944860672906025,0.5598564818447611,141.0,85.0,6.0
1.3574845,1000,2800.825206,2.550275023617949,0.5000238156029521,143.0,94.0,8.0
2.2598512,1000,2812.56533,4.102794573427951,0.7809793040460339,146.0,94.0,12.0
1.1601238,1000,2821.57165,2.478541408158615,0.47818006524258,158.0,82.0,6.0
1.7177877,1000,2829.376835,3.303116984289325,0.6328885639850743,151.0,80.0,10.0
1.9852403,1000,2837.498358,4.421046113378797,0.7718072526513176,151.0,81.0,12.0
1.5535089,1000,2847.093766,2.8487783230425,0.5559620791951023,139.0,82.0,13.0
