#{"t_start": 1697836637.9087481, "env_id": "None"}
r,l,t,rendimiento,porfolio,comision
-0.11294013,100,0.937826,0.8932041168315742,[0.         0.32675052 0.6732495 ],0.0016499999999999998
-0.21177514,100,0.937943,0.8091466147673025,[0.40184706 0.         0.59815294],0.003
-0.22371273,100,0.938017,0.7995448137094158,[0.302138   0.29633287 0.40152913],0.0005098361968994141
-0.13575025,100,0.938068,0.8730606646211738,[0.3711634  0.51100284 0.11783376],0.0008942697197198868
-0.15210538,100,0.938129,0.8588977637529424,[0.42478725 0.5752128  0.        ],0.0016387005150318146
-0.08098314,100,0.938169,0.9222092478416978,[0.        0.7980793 0.2019207],0.00233242554217577
-0.036796764,100,0.938206,0.9638720124985893,[0.231296   0.44386426 0.32483977],0.0021999999999999997
-0.23213138,100,0.938245,0.7928419491936085,[0.16891919 0.333083   0.4979978 ],0.001650000074505806
-0.21052259,100,1.772456,0.810160753735857,[1. 0. 0.],0.005
-0.22476594,100,1.772564,0.7987031433852985,[0. 0. 1.],0.005
-0.27765036,100,1.772638,0.7575616084124499,[0.         0.79377985 0.20622012],0.000795397385954857
-0.28925997,100,1.772691,0.7488175153843709,[0.80038595 0.         0.19961402],0.003162814319133759
-0.28709447,100,1.772746,0.750440824644533,[1. 0. 0.],0.002457121592015028
-0.49040794,100,1.772785,0.6123765937949237,[0. 1. 0.],0.004455941449850798
-0.07181259,100,1.772822,0.9307052946932218,[0.33982623 0.3308842  0.3292896 ],0.0008485133484005928
-0.26300815,100,1.772861,0.7687355974299968,[0.14071687 0.4242782  0.43500492],0.0006999999254941941
-0.28282583,100,2.606508,0.753651030278335,[0.         0.33157438 0.6684256 ],0.001901890887320042
-0.16918951,100,2.606622,0.8443488419077856,[0.29394573 0.30016074 0.40589353],0.0009974721670150757
-0.16715868,100,2.606699,0.8460653710017824,[1. 0. 0.],0.0035521898418664935
-0.13304602,100,2.60678,0.8754247723133848,[0.24844122 0.25489417 0.4966646 ],0.0010014807805418969
-0.06879494,100,2.606828,0.9335180874384741,[1. 0. 0.],0.003738972321152687
0.016825125,100,2.606867,1.0169674890638376,[0.         0.60276103 0.39723897],0.002
-0.19300857,100,2.606905,0.8244749023728549,[0.        0.3278365 0.6721635],0.0023557875216007234
-0.19789702,100,2.606943,0.8204542903022612,[0.39370498 0.40418145 0.20211357],0.0006679424047470094
-0.14203905,100,3.441647,0.8675873939443937,[0. 0. 1.],0.004007421433925629
-0.15911372,100,3.441759,0.8528993897454904,[0.20222822 0.5946256  0.2031462 ],0.001451733946800232
-0.16062982,100,3.441838,0.8516072657700772,[0. 1. 0.],0.003214407414197922
-0.00094587635,100,3.44189,0.9990545522913591,[0.49420568 0.17100982 0.33478448],0.0013589928388595578
-0.22887614,100,3.441938,0.7954270296144148,[0. 0. 1.],0.003996487930417061
-0.07623639,100,3.442003,0.9265971384634613,[0.39648017 0.6035198  0.        ],0.003
-0.12684429,100,3.44204,0.8808708286377617,[0. 1. 0.],0.0037330087274312974
-0.1954118,100,3.442078,0.822495861180761,[0.         0.20169842 0.7983016 ],0.002750366531312466
-0.20808838,100,4.275785,0.8121352339149299,[0.12934516 0.50572443 0.3649304 ],0.0010422362893819808
-0.23722166,100,4.275899,0.7888164327776919,[0.3784483  0.50023395 0.12131774],0.0006
-0.21765643,100,4.275965,0.8044017367396391,[0.7535251 0.2464749 0.       ],0.002314333692193031
-0.07733585,100,4.276008,0.9255788944613637,[0.5601173  0.         0.43988267],0.004006595574319362
-0.06225237,100,4.27605,0.9396457175023422,[0.34213352 0.3310667  0.32679975],0.001649999925494194
-0.18436682,100,4.276093,0.8316306943540839,[0.44931692 0.10449364 0.44618943],0.0028000000000000004
-0.21152674,100,4.276131,0.8093476142684558,[0.         0.6702921  0.32970795],0.0006413350716233253
-0.15768643,100,4.276169,0.8541175997205308,[0.40286043 0.28259647 0.3145431 ],0.0034999999999999996
-0.25491095,100,5.112638,0.7749855247444667,[0.25852734 0.37297872 0.36849394],0.0006586518749594689
-0.23234932,100,5.11275,0.7926691960259691,[0.2776288  0.36404374 0.35832745],0.0014000000000000002
-0.43701792,100,5.112815,0.6459598643706327,[0.26264587 0.36960888 0.36774525],0.0006186677753925323
-0.3061859,100,5.112864,0.7362497270557121,[0. 0. 1.],0.005
-0.059358217,100,5.112905,0.9423691496371984,[0.395597   0.20320462 0.40119836],0.001999999925494194
-0.13612582,100,5.112966,0.8727327872920568,[0.74980503 0.250195   0.        ],0.00375
-0.11273963,100,5.113003,0.8933832505967044,[0.5090522  0.11985873 0.37108907],0.0011473231494426729
-0.10639259,100,5.113041,0.8990716090505969,[0.         0.8001764  0.19982363],0.0022036475837230686
-0.09933521,100,5.944764,0.9054391510446466,[0.14859025 0.2880219  0.5633879 ],0.001586624416708946
-0.088498145,100,5.94488,0.9153048011034887,[0.1953177  0.19898319 0.6056991 ],0.0018293788060545922
-0.10754418,100,5.944958,0.89803685534878,[0.4001943 0.5998057 0.       ],0.0013535800129175185
-0.18572517,100,5.945002,0.8305017919720212,[0.         0.20090201 0.79909796],0.0031559366136789326
-0.19201787,100,5.945067,0.8252921343173952,[0.         0.5002059  0.49979416],0.0012455733865499496
-0.088168375,100,5.945105,0.9156067174955768,[0.24871175 0.75128824 0.        ],0.002293166965246201
-0.07342196,100,5.945143,0.9292086586986289,[0.6714032  0.32859674 0.        ],0.002702584630250931
-0.20297433,100,5.945179,0.8162992077359866,[0.13883598 0.5696769  0.2914871 ],0.0021500000000000004
-0.25484386,100,6.777509,0.7750375130338162,[0.56367505 0.14172877 0.2945962 ],0.000887095594406128
-0.12163468,100,6.777626,0.885471777660593,[0.42873487 0.13801725 0.4332479 ],0.0018021830201148986
-0.27749053,100,6.777699,0.7576827727307047,[0.         0.6652108  0.33478925],0.002107736384868622
-0.17372492,100,6.77774,0.8405280468910578,[0.5046498  0.49535015 0.        ],0.0025
-0.21701732,100,6.777779,0.8049160655549513,[0.6072054  0.19543001 0.19736461],0.001482202798128128
-0.3419602,100,6.777838,0.7103765046655236,[0. 0. 1.],0.005
-0.15436545,100,6.777876,0.856958810586024,[1. 0. 0.],0.0021693402528762816
-0.15889369,100,6.777913,0.8530870801574046,[0.7478392  0.25216082 0.        ],0.0037632787600159648
-0.014985856,100,7.610244,0.9851258827327555,[0.15715864 0.6772381  0.16560325],0.0042
-0.27038088,100,7.610357,0.7630887869008213,[0.43102273 0.56897724 0.        ],0.0028500000745058057
-0.046612408,100,7.610435,0.9544572633463351,[0.         0.80154985 0.19845013],0.001524986118078232
-0.20400852,100,7.610487,0.8154554982366099,[1. 0. 0.],0.003287753015756607
-0.055511247,100,7.610529,0.9460013778428454,[0.38339633 0.36814678 0.24845687],0.0018999999254941942
-0.19462588,100,7.610575,0.8231425591365866,[0.503458 0.496542 0.      ],0.002494475245475769
